
1617487276.172378,AUB6V4HVL1O45,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AUB6V4HVL1O45'}
1617487278.574285,AUB6V4HVL1O45,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'AUB6V4HVL1O45'}
1617487298.629321,AUB6V4HVL1O45,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AUB6V4HVL1O45'}
1617487304.274525,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'AUB6V4HVL1O45'}
1617487312.630019,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'AUB6V4HVL1O45'}
1617487312.627954,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'AUB6V4HVL1O45'}
1617487318.368762,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'AUB6V4HVL1O45'}
1617487318.37045,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AUB6V4HVL1O45'}
1617487318.396069,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'AUB6V4HVL1O45'}
1617487320.982013,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'AUB6V4HVL1O45'}
1617487320.984682,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'AUB6V4HVL1O45'}
1617487322.028998,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'AUB6V4HVL1O45'}
1617487322.050813,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AUB6V4HVL1O45'}
1617487323.383933,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'AUB6V4HVL1O45'}
1617487323.385187,AUB6V4HVL1O45,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AUB6V4HVL1O45'}
