
1625193322.008309,AW0ONSTZE01AW,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AW0ONSTZE01AW'}
1625193327.521017,AW0ONSTZE01AW,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'AW0ONSTZE01AW'}
1625193336.204911,AW0ONSTZE01AW,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AW0ONSTZE01AW'}
1625193338.636127,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'AW0ONSTZE01AW'}
1625193357.224072,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'AW0ONSTZE01AW'}
1625193357.231467,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'AW0ONSTZE01AW'}
1625193374.428616,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AW0ONSTZE01AW'}
1625193387.324356,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AW0ONSTZE01AW'}
1625193387.941918,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AW0ONSTZE01AW'}
1625193388.717982,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AW0ONSTZE01AW'}
1625193391.937658,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AW0ONSTZE01AW'}
1625193392.855017,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AW0ONSTZE01AW'}
1625193461.979417,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AW0ONSTZE01AW'}
1625193461.980181,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'AW0ONSTZE01AW'}
1625193462.071714,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'AW0ONSTZE01AW'}
1625193466.278511,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AW0ONSTZE01AW'}
1625193467.196895,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AW0ONSTZE01AW'}
1625193468.114905,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AW0ONSTZE01AW'}
1625193473.341723,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AW0ONSTZE01AW'}
1625193473.959469,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AW0ONSTZE01AW'}
1625193474.880012,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AW0ONSTZE01AW'}
1625193480.107385,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AW0ONSTZE01AW'}
1625193481.019118,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AW0ONSTZE01AW'}
1625193481.944579,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AW0ONSTZE01AW'}
1625193487.369408,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AW0ONSTZE01AW'}
1625193488.393436,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AW0ONSTZE01AW'}
1625193489.312339,AW0ONSTZE01AW,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AW0ONSTZE01AW'}
