
1624907643.073951,AY7WPVKHVNBLG,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AY7WPVKHVNBLG'}
1624907648.217334,AY7WPVKHVNBLG,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'AY7WPVKHVNBLG'}
1624907656.003716,AY7WPVKHVNBLG,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'AY7WPVKHVNBLG'}
1624907681.905348,AY7WPVKHVNBLG,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AY7WPVKHVNBLG'}
1624907684.720655,AY7WPVKHVNBLG,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'AY7WPVKHVNBLG'}
1624907714.427569,AY7WPVKHVNBLG,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'AY7WPVKHVNBLG'}
1624907714.474852,AY7WPVKHVNBLG,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'AY7WPVKHVNBLG'}
1624907768.551668,AY7WPVKHVNBLG,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'AY7WPVKHVNBLG'}
1624907768.55595,AY7WPVKHVNBLG,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AY7WPVKHVNBLG'}
1624907768.556319,AY7WPVKHVNBLG,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'AY7WPVKHVNBLG'}
1624907779.184262,AY7WPVKHVNBLG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AY7WPVKHVNBLG'}
1624907779.493004,AY7WPVKHVNBLG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AY7WPVKHVNBLG'}
1624907779.901715,AY7WPVKHVNBLG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AY7WPVKHVNBLG'}
1624907780.414516,AY7WPVKHVNBLG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AY7WPVKHVNBLG'}
1624907780.531628,AY7WPVKHVNBLG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AY7WPVKHVNBLG'}
1624907780.821395,AY7WPVKHVNBLG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AY7WPVKHVNBLG'}
1624907781.33552,AY7WPVKHVNBLG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AY7WPVKHVNBLG'}
1624907781.522379,AY7WPVKHVNBLG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AY7WPVKHVNBLG'}
1624907784.81739,AY7WPVKHVNBLG,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'AY7WPVKHVNBLG'}
1624907784.818103,AY7WPVKHVNBLG,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'AY7WPVKHVNBLG'}
1624907799.502899,AY7WPVKHVNBLG,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'AY7WPVKHVNBLG'}
1624907799.507667,AY7WPVKHVNBLG,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AY7WPVKHVNBLG'}
1624907829.259274,AY7WPVKHVNBLG,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AY7WPVKHVNBLG'}
1624907829.261422,AY7WPVKHVNBLG,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'AY7WPVKHVNBLG'}
1624907859.056678,AY7WPVKHVNBLG,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AY7WPVKHVNBLG'}
1624907877.797406,AY7WPVKHVNBLG,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'AY7WPVKHVNBLG'}
1624907877.894327,AY7WPVKHVNBLG,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AY7WPVKHVNBLG'}
1624907884.243601,AY7WPVKHVNBLG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AY7WPVKHVNBLG'}
1624907885.041713,AY7WPVKHVNBLG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AY7WPVKHVNBLG'}
1624907885.784139,AY7WPVKHVNBLG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AY7WPVKHVNBLG'}
1624907885.982295,AY7WPVKHVNBLG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AY7WPVKHVNBLG'}
1624907886.706297,AY7WPVKHVNBLG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AY7WPVKHVNBLG'}
1624907886.909178,AY7WPVKHVNBLG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AY7WPVKHVNBLG'}
1624907887.317112,AY7WPVKHVNBLG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AY7WPVKHVNBLG'}
1624907887.797212,AY7WPVKHVNBLG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AY7WPVKHVNBLG'}
1624907888.239276,AY7WPVKHVNBLG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AY7WPVKHVNBLG'}
1624907888.54509,AY7WPVKHVNBLG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AY7WPVKHVNBLG'}
1624907889.772136,AY7WPVKHVNBLG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AY7WPVKHVNBLG'}
1624907890.392595,AY7WPVKHVNBLG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AY7WPVKHVNBLG'}
1624907890.470158,AY7WPVKHVNBLG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AY7WPVKHVNBLG'}
1624907891.312543,AY7WPVKHVNBLG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AY7WPVKHVNBLG'}
1624907891.489055,AY7WPVKHVNBLG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AY7WPVKHVNBLG'}
1624907891.925554,AY7WPVKHVNBLG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AY7WPVKHVNBLG'}
1624907892.846437,AY7WPVKHVNBLG,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AY7WPVKHVNBLG'}
1624907894.381467,AY7WPVKHVNBLG,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'AY7WPVKHVNBLG'}
