
1617206814.923707,A20N9775X5Q5JV,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A20N9775X5Q5JV'}
1617206827.981099,A20N9775X5Q5JV,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A20N9775X5Q5JV'}
1617206832.99363,A20N9775X5Q5JV,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A20N9775X5Q5JV'}
1617206834.455705,A20N9775X5Q5JV,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A20N9775X5Q5JV'}
1617206840.88529,A20N9775X5Q5JV,{'stage': 'connect', 'action': 'opened-page', 'worker-id': 'A20N9775X5Q5JV'}
1617206894.224661,A20N9775X5Q5JV,{'stage': 'connect', 'action': 'opened-page', 'worker-id': 'A20N9775X5Q5JV'}
1617207407.679046,A20N9775X5Q5JV,{'worker-id': 'A20N9775X5Q5JV', 'stage': 'networks', 'data': 'A20N9775X5Q5JV,3,16,15,0,25,0,2,0,-1,-1,3,3,7,7,7,7,'}
1617207407.686038,A20N9775X5Q5JV,A20N9775X5Q5JV,3,16,15,0,25,0,2,0,-1,-1,3,3,7,7,7,7,
1617207408.720807,A20N9775X5Q5JV,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A20N9775X5Q5JV'}
1617207411.332467,A20N9775X5Q5JV,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A20N9775X5Q5JV'}
1617207473.092611,A20N9775X5Q5JV,{'stage': 0, 'action': 'opened-page', 'worker-id': 'A20N9775X5Q5JV'}
1617207509.723287,A20N9775X5Q5JV,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207511.604187,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5271428571428571,0.6028571428571429]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207532.390436,A20N9775X5Q5JV,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207536.881218,A20N9775X5Q5JV,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207537.193864,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.5028571428571429,0.63]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207537.820191,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.49714285714285716,0.6114285714285714]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207538.029226,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.49714285714285716,0.6114285714285714]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207538.160735,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.49714285714285716,0.6114285714285714]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207538.342316,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.49714285714285716,0.6114285714285714]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207538.471867,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.49714285714285716,0.6114285714285714]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207538.588909,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.49714285714285716,0.6114285714285714]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
1617207538.760418,A20N9775X5Q5JV,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.49714285714285716,0.6114285714285714]', 'worker-id': 'A20N9775X5Q5JV', 'stage': 0}
