
1617305731.774358,A2PXJTMWGUE5DC,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2PXJTMWGUE5DC'}
1617305741.989715,A2PXJTMWGUE5DC,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A2PXJTMWGUE5DC'}
1617305772.678229,A2PXJTMWGUE5DC,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2PXJTMWGUE5DC'}
1617305776.258285,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A2PXJTMWGUE5DC'}
1617305814.440713,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A2PXJTMWGUE5DC'}
1617305814.44182,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A2PXJTMWGUE5DC'}
1617305866.874179,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A2PXJTMWGUE5DC'}
1617305866.900046,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2PXJTMWGUE5DC'}
1617305866.900788,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A2PXJTMWGUE5DC'}
1617305889.43579,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2PXJTMWGUE5DC'}
1617305890.375585,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2PXJTMWGUE5DC'}
1617305894.344082,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2PXJTMWGUE5DC'}
1617305894.762087,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2PXJTMWGUE5DC'}
1617305895.340131,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2PXJTMWGUE5DC'}
1617305897.060282,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2PXJTMWGUE5DC'}
1617305901.029462,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A2PXJTMWGUE5DC'}
1617305901.030307,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A2PXJTMWGUE5DC'}
1617305934.3093,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A2PXJTMWGUE5DC'}
1617305934.315662,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2PXJTMWGUE5DC'}
1617305946.778382,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2PXJTMWGUE5DC'}
1617305946.77935,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A2PXJTMWGUE5DC'}
1617305976.755603,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2PXJTMWGUE5DC'}
1617305997.122948,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2PXJTMWGUE5DC'}
1617305998.271635,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2PXJTMWGUE5DC'}
1617305999.108774,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306000.051224,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306001.092101,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306002.345639,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306003.390206,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306004.397462,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306005.269938,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306006.13793,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306007.538502,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306008.404892,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306009.239266,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2PXJTMWGUE5DC'}
1617306010.236633,A2PXJTMWGUE5DC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2PXJTMWGUE5DC'}
