
1617476427.768562,A3JC9VPPTHNKVL,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476436.863552,A3JC9VPPTHNKVL,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476480.652386,A3JC9VPPTHNKVL,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476483.331654,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476533.322777,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476533.326411,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476537.685643,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476583.640904,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476583.64377,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476583.64289,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476604.4264,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476605.122914,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476605.679533,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476607.035122,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476607.665171,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476608.185434,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476610.040818,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476611.660457,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476614.558674,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476615.705782,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476616.543901,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476617.691436,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476618.630286,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476619.570593,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476622.182228,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476622.184299,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476650.696596,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476650.698683,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476697.804593,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476697.806412,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476727.789817,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476758.279913,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476758.802337,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476761.956386,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3JC9VPPTHNKVL'}
1617476762.67192,A3JC9VPPTHNKVL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3JC9VPPTHNKVL'}
