
1617476533.820594,A3US4NGKXBVI48,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3US4NGKXBVI48'}
1617476571.28728,A3US4NGKXBVI48,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3US4NGKXBVI48'}
1617476591.476535,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A3US4NGKXBVI48'}
1617476675.09671,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A3US4NGKXBVI48'}
1617476675.119853,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A3US4NGKXBVI48'}
1617476737.101754,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A3US4NGKXBVI48'}
1617476737.099281,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A3US4NGKXBVI48'}
1617476737.107076,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3US4NGKXBVI48'}
1617476746.895762,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3US4NGKXBVI48'}
1617476749.402114,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3US4NGKXBVI48'}
1617476750.237676,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3US4NGKXBVI48'}
1617476750.965288,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3US4NGKXBVI48'}
1617476751.908534,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3US4NGKXBVI48'}
1617476752.642234,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3US4NGKXBVI48'}
1617476753.894981,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3US4NGKXBVI48'}
1617476754.431141,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3US4NGKXBVI48'}
1617476755.163053,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3US4NGKXBVI48'}
1617476755.709744,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3US4NGKXBVI48'}
1617476756.297111,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3US4NGKXBVI48'}
1617476756.800275,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3US4NGKXBVI48'}
1617476765.800752,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A3US4NGKXBVI48'}
1617476765.802492,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A3US4NGKXBVI48'}
1617476780.278769,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A3US4NGKXBVI48'}
1617476780.281271,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3US4NGKXBVI48'}
1617476806.43237,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3US4NGKXBVI48'}
1617476806.434403,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A3US4NGKXBVI48'}
1617476836.513138,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3US4NGKXBVI48'}
1617476852.004,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3US4NGKXBVI48'}
1617476857.404417,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3US4NGKXBVI48'}
1617476858.028203,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3US4NGKXBVI48'}
1617476858.34353,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3US4NGKXBVI48'}
1617476858.761127,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3US4NGKXBVI48'}
1617476859.07292,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3US4NGKXBVI48'}
1617476859.387819,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3US4NGKXBVI48'}
1617476859.806538,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3US4NGKXBVI48'}
1617476860.432286,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3US4NGKXBVI48'}
1617476860.954232,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3US4NGKXBVI48'}
1617476861.268777,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3US4NGKXBVI48'}
1617476861.999233,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3US4NGKXBVI48'}
1617476862.52164,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3US4NGKXBVI48'}
1617476862.834995,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3US4NGKXBVI48'}
1617476863.565905,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3US4NGKXBVI48'}
1617476863.983888,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3US4NGKXBVI48'}
1617476864.924656,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3US4NGKXBVI48'}
1617476873.17602,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3US4NGKXBVI48'}
1617476873.202971,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A3US4NGKXBVI48'}
1617476903.257676,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3US4NGKXBVI48'}
1617476904.510297,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3US4NGKXBVI48'}
1617476904.797414,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3US4NGKXBVI48'}
1617476905.241209,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3US4NGKXBVI48'}
1617476906.072917,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3US4NGKXBVI48'}
1617476906.579808,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3US4NGKXBVI48'}
1617476906.939525,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3US4NGKXBVI48'}
1617476907.432597,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3US4NGKXBVI48'}
1617476908.061511,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3US4NGKXBVI48'}
1617476908.583713,A3US4NGKXBVI48,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3US4NGKXBVI48'}
