
1624224881.80857,A123R7AGMJMYT7,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A123R7AGMJMYT7'}
1624224898.097686,A123R7AGMJMYT7,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A123R7AGMJMYT7'}
1624224907.62415,A123R7AGMJMYT7,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A123R7AGMJMYT7'}
1624224912.536679,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A123R7AGMJMYT7'}
1624224919.295906,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A123R7AGMJMYT7'}
1624224919.296671,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A123R7AGMJMYT7'}
1624225031.728441,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A123R7AGMJMYT7'}
1624225031.729336,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A123R7AGMJMYT7'}
1624225031.730688,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A123R7AGMJMYT7'}
1624225036.023476,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A123R7AGMJMYT7'}
1624225037.2519,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A123R7AGMJMYT7'}
1624225037.789781,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A123R7AGMJMYT7'}
1624225040.32377,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A123R7AGMJMYT7'}
1624225040.491746,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A123R7AGMJMYT7'}
1624225043.394985,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A123R7AGMJMYT7'}
1624225044.62366,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A123R7AGMJMYT7'}
1624225044.624642,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A123R7AGMJMYT7'}
1624225048.617212,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A123R7AGMJMYT7'}
1624225048.61801,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A123R7AGMJMYT7'}
1624225078.722153,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A123R7AGMJMYT7'}
1624225101.766193,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A123R7AGMJMYT7'}
1624225102.378196,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A123R7AGMJMYT7'}
1624225103.605358,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A123R7AGMJMYT7'}
1624225104.526955,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A123R7AGMJMYT7'}
1624225105.755399,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A123R7AGMJMYT7'}
1624225106.37001,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A123R7AGMJMYT7'}
1624225107.085474,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A123R7AGMJMYT7'}
1624225108.212364,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A123R7AGMJMYT7'}
1624225108.826825,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A123R7AGMJMYT7'}
1624225110.362303,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A123R7AGMJMYT7'}
1624225111.282337,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A123R7AGMJMYT7'}
1624225111.895242,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A123R7AGMJMYT7'}
1624225112.513097,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A123R7AGMJMYT7'}
1624225113.126062,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A123R7AGMJMYT7'}
1624225113.741622,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A123R7AGMJMYT7'}
1624225114.356706,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A123R7AGMJMYT7'}
1624225115.278911,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A123R7AGMJMYT7'}
1624225117.430775,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A123R7AGMJMYT7'}
1624225117.471569,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A123R7AGMJMYT7'}
1624225147.534008,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A123R7AGMJMYT7'}
1624225157.374702,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A123R7AGMJMYT7'}
1624225157.982291,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A123R7AGMJMYT7'}
1624225158.866349,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A123R7AGMJMYT7'}
1624225159.435956,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A123R7AGMJMYT7'}
1624225161.050967,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A123R7AGMJMYT7'}
1624225162.893993,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A123R7AGMJMYT7'}
1624225163.815103,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A123R7AGMJMYT7'}
1624225164.736543,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A123R7AGMJMYT7'}
1624225165.351212,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A123R7AGMJMYT7'}
1624225165.521892,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A123R7AGMJMYT7'}
1624225166.274847,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A123R7AGMJMYT7'}
1624225166.887964,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A123R7AGMJMYT7'}
1624225167.502084,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A123R7AGMJMYT7'}
1624225168.115812,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A123R7AGMJMYT7'}
1624225168.526012,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A123R7AGMJMYT7'}
1624225169.330015,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A123R7AGMJMYT7'}
1624225169.991135,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A123R7AGMJMYT7'}
1624225170.881462,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A123R7AGMJMYT7'}
1624225170.882243,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A123R7AGMJMYT7'}
1624225201.292857,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A123R7AGMJMYT7'}
1624225204.981312,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A123R7AGMJMYT7'}
1624225206.521265,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A123R7AGMJMYT7'}
1624225207.134083,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A123R7AGMJMYT7'}
1624225208.979212,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A123R7AGMJMYT7'}
1624225209.593242,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A123R7AGMJMYT7'}
1624225210.406713,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A123R7AGMJMYT7'}
1624225211.436086,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A123R7AGMJMYT7'}
1624225212.046764,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A123R7AGMJMYT7'}
1624225212.255043,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A123R7AGMJMYT7'}
1624225213.27924,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A123R7AGMJMYT7'}
1624225213.893205,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A123R7AGMJMYT7'}
1624225214.507489,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A123R7AGMJMYT7'}
1624225215.119904,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A123R7AGMJMYT7'}
1624225215.321894,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A123R7AGMJMYT7'}
1624225216.179657,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A123R7AGMJMYT7'}
1624225216.965872,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A123R7AGMJMYT7'}
1624225217.576941,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A123R7AGMJMYT7'}
1624225219.113113,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A123R7AGMJMYT7'}
1624225219.114632,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A123R7AGMJMYT7'}
1624225249.218409,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A123R7AGMJMYT7'}
1624225253.519854,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A123R7AGMJMYT7'}
1624225254.134343,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A123R7AGMJMYT7'}
1624225255.670106,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A123R7AGMJMYT7'}
1624225256.285018,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A123R7AGMJMYT7'}
1624225257.206877,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A123R7AGMJMYT7'}
1624225258.435081,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A123R7AGMJMYT7'}
1624225258.740904,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A123R7AGMJMYT7'}
1624225259.664092,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A123R7AGMJMYT7'}
1624225260.27797,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A123R7AGMJMYT7'}
1624225260.890747,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A123R7AGMJMYT7'}
1624225262.427415,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A123R7AGMJMYT7'}
1624225263.346634,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A123R7AGMJMYT7'}
1624225264.272225,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A123R7AGMJMYT7'}
1624225264.886123,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A123R7AGMJMYT7'}
1624225265.498001,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A123R7AGMJMYT7'}
1624225265.97988,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A123R7AGMJMYT7'}
1624225266.730719,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A123R7AGMJMYT7'}
1624225267.961438,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A123R7AGMJMYT7'}
1624225267.960377,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A123R7AGMJMYT7'}
1624225298.06607,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A123R7AGMJMYT7'}
1624225303.597963,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A123R7AGMJMYT7'}
1624225304.515169,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A123R7AGMJMYT7'}
1624225305.433984,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A123R7AGMJMYT7'}
1624225305.749957,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A123R7AGMJMYT7'}
1624225307.585816,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A123R7AGMJMYT7'}
1624225307.766059,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A123R7AGMJMYT7'}
1624225308.817744,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A123R7AGMJMYT7'}
1624225309.430096,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A123R7AGMJMYT7'}
1624225310.35463,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A123R7AGMJMYT7'}
1624225310.659124,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A123R7AGMJMYT7'}
1624225311.262977,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A123R7AGMJMYT7'}
1624225311.886022,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A123R7AGMJMYT7'}
1624225312.50275,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A123R7AGMJMYT7'}
1624225312.809234,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A123R7AGMJMYT7'}
1624225314.036727,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A123R7AGMJMYT7'}
1624225314.959767,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A123R7AGMJMYT7'}
1624225315.576303,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A123R7AGMJMYT7'}
1624225316.805187,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A123R7AGMJMYT7'}
1624225316.806462,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A123R7AGMJMYT7'}
1624225346.912123,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A123R7AGMJMYT7'}
1624225350.906306,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A123R7AGMJMYT7'}
1624225351.214055,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A123R7AGMJMYT7'}
1624225352.132357,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A123R7AGMJMYT7'}
1624225352.745681,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A123R7AGMJMYT7'}
1624225353.35984,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A123R7AGMJMYT7'}
1624225354.899149,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A123R7AGMJMYT7'}
1624225355.820329,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A123R7AGMJMYT7'}
1624225356.435343,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A123R7AGMJMYT7'}
1624225357.359117,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A123R7AGMJMYT7'}
1624225357.970051,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A123R7AGMJMYT7'}
1624225358.586801,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A123R7AGMJMYT7'}
1624225358.89301,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A123R7AGMJMYT7'}
1624225359.814998,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A123R7AGMJMYT7'}
1624225360.42781,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A123R7AGMJMYT7'}
1624225360.835655,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A123R7AGMJMYT7'}
1624225361.553597,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A123R7AGMJMYT7'}
1624225362.578081,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A123R7AGMJMYT7'}
1624225364.424136,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A123R7AGMJMYT7'}
1624225364.428238,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing endgame panel', 'worker-id': 'A123R7AGMJMYT7'}
1624225364.520436,A123R7AGMJMYT7,{'stage': 'SAGAT', 'action': 'complete', 'score': 37, 'worker-id': 'A123R7AGMJMYT7'}
1624225370.872961,A123R7AGMJMYT7,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A123R7AGMJMYT7'}
1624225378.553582,A123R7AGMJMYT7,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A123R7AGMJMYT7'}
1624225431.19172,A123R7AGMJMYT7,{'stage': 0, 'action': 'opened-page', 'worker-id': 'A123R7AGMJMYT7'}
1624225446.448764,A123R7AGMJMYT7,{'action': 'select-vehicle', 'target': 'UGV1', 'worker-id': 'A123R7AGMJMYT7', 'stage': 0}
1624225447.678491,A123R7AGMJMYT7,{'action': 'add-valid-waypoint', 'target': 'UGV1', 'location': '[0.5428571428571428,0.9171428571428571]', 'worker-id': 'A123R7AGMJMYT7', 'stage': 0}
1624225449.215348,A123R7AGMJMYT7,{'action': 'select-vehicle', 'target': 'UAV1', 'worker-id': 'A123R7AGMJMYT7', 'stage': 0}
1624225450.135538,A123R7AGMJMYT7,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.6114285714285714,0.9228571428571428]', 'worker-id': 'A123R7AGMJMYT7', 'stage': 0}
1624225450.289493,A123R7AGMJMYT7,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.6171428571428571,0.8857142857142857]', 'worker-id': 'A123R7AGMJMYT7', 'stage': 0}
1624225450.750564,A123R7AGMJMYT7,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.7114285714285714,0.8342857142857143]', 'worker-id': 'A123R7AGMJMYT7', 'stage': 0}
1624225450.9507,A123R7AGMJMYT7,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.7142857142857143,0.8285714285714286]', 'worker-id': 'A123R7AGMJMYT7', 'stage': 0}
1624225451.258523,A123R7AGMJMYT7,{'action': 'add-valid-waypoint', 'target': 'UAV1', 'location': '[0.7257142857142858,0.8171428571428572]', 'worker-id': 'A123R7AGMJMYT7', 'stage': 0}
