
1624151520.142181,A15CYEEX5TXYBB,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A15CYEEX5TXYBB'}
1624151552.394984,A15CYEEX5TXYBB,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A15CYEEX5TXYBB'}
1624151555.348277,A15CYEEX5TXYBB,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A15CYEEX5TXYBB'}
1624151583.4276,A15CYEEX5TXYBB,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A15CYEEX5TXYBB'}
1624151588.896708,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A15CYEEX5TXYBB'}
1624151608.127264,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A15CYEEX5TXYBB'}
1624151608.133735,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A15CYEEX5TXYBB'}
1624151609.970941,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A15CYEEX5TXYBB'}
1624151609.97399,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A15CYEEX5TXYBB'}
1624151610.278895,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A15CYEEX5TXYBB'}
1624151610.398077,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A15CYEEX5TXYBB'}
1624151611.199378,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A15CYEEX5TXYBB'}
1624151611.2426,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A15CYEEX5TXYBB'}
1624151611.437036,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A15CYEEX5TXYBB'}
1624151611.598817,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A15CYEEX5TXYBB'}
1624151611.805047,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A15CYEEX5TXYBB'}
1624151612.737196,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A15CYEEX5TXYBB'}
1624151622.877523,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A15CYEEX5TXYBB'}
1624151622.878473,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A15CYEEX5TXYBB'}
1624151622.881375,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A15CYEEX5TXYBB'}
1624151631.169081,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A15CYEEX5TXYBB'}
1624151631.170019,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A15CYEEX5TXYBB'}
1624151638.108673,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A15CYEEX5TXYBB'}
1624151639.77233,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A15CYEEX5TXYBB'}
1624151648.689519,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A15CYEEX5TXYBB'}
1624151648.690625,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A15CYEEX5TXYBB'}
1624151667.415872,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A15CYEEX5TXYBB'}
1624151667.417334,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A15CYEEX5TXYBB'}
1624151669.87247,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A15CYEEX5TXYBB'}
1624151671.102813,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A15CYEEX5TXYBB'}
1624151682.779513,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A15CYEEX5TXYBB'}
1624151688.61435,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A15CYEEX5TXYBB'}
1624151689.535567,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A15CYEEX5TXYBB'}
1624151689.53631,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A15CYEEX5TXYBB'}
1624151689.651758,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A15CYEEX5TXYBB'}
1624151689.848116,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A15CYEEX5TXYBB'}
1624151690.014743,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A15CYEEX5TXYBB'}
1624151697.215584,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A15CYEEX5TXYBB'}
1624151707.360921,A15CYEEX5TXYBB,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A15CYEEX5TXYBB'}
