
1624210783.603104,A19TD2J8506A4Y,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A19TD2J8506A4Y'}
1624210797.397748,A19TD2J8506A4Y,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A19TD2J8506A4Y'}
1624210830.810568,A19TD2J8506A4Y,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A19TD2J8506A4Y'}
1624210836.139367,A19TD2J8506A4Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A19TD2J8506A4Y'}
1624210884.677399,A19TD2J8506A4Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A19TD2J8506A4Y'}
1624210884.678314,A19TD2J8506A4Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A19TD2J8506A4Y'}
1624210944.282852,A19TD2J8506A4Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A19TD2J8506A4Y'}
1624210944.284184,A19TD2J8506A4Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A19TD2J8506A4Y'}
1624210944.378109,A19TD2J8506A4Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A19TD2J8506A4Y'}
1624210962.014239,A19TD2J8506A4Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A19TD2J8506A4Y'}
1624210962.718471,A19TD2J8506A4Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A19TD2J8506A4Y'}
1624210962.84239,A19TD2J8506A4Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A19TD2J8506A4Y'}
1624210963.435489,A19TD2J8506A4Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A19TD2J8506A4Y'}
