
1624130975.589114,A1GL9DKOEC0PFH,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1GL9DKOEC0PFH'}
1624130979.902503,A1GL9DKOEC0PFH,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A1GL9DKOEC0PFH'}
1624130989.591848,A1GL9DKOEC0PFH,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1GL9DKOEC0PFH'}
1624130995.122761,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131003.41339,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131004.03402,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131004.951469,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131004.952961,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131005.95662,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131006.207032,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131006.211616,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131008.941612,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131008.942601,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131010.169054,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131010.372644,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131017.856465,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131017.857498,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131021.846213,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131022.766857,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131022.769619,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131022.967808,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131033.822618,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131035.050835,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131035.971974,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131036.380576,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131037.814912,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131038.735401,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131039.660087,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131039.701629,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131039.71536,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131041.501548,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131047.647413,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131047.955237,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131048.076902,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131050.104215,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131050.411345,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131051.332489,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131051.385363,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131052.560638,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131053.481109,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131053.512613,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131054.711847,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131055.93759,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131056.873376,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1GL9DKOEC0PFH'}
1624131057.474664,A1GL9DKOEC0PFH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1GL9DKOEC0PFH'}
