
1624039145.254953,A1GTMV7M3JGNVC,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039148.016388,A1GTMV7M3JGNVC,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039154.467163,A1GTMV7M3JGNVC,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039158.467986,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039168.600142,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039168.601421,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039169.832455,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039169.833551,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039169.835054,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039175.050342,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039175.051105,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039179.967687,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039182.116254,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039182.117464,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039183.659798,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039183.661061,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039213.859027,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039217.159878,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039217.162922,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039218.367814,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039218.36849,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039219.289311,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039219.289856,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039220.517643,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039221.130466,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039221.747693,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039222.669854,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039223.588962,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039223.894021,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039225.125406,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039225.13837,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039225.634368,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039226.35418,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039226.661462,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039227.279919,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039227.891442,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039228.505745,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039229.465582,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039230.042027,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039230.346127,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039231.576523,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039231.577092,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039232.805096,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039232.807669,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039262.912354,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039269.370522,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039269.983343,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039270.28871,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039271.51256,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039272.130217,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1GTMV7M3JGNVC'}
1624039272.744606,A1GTMV7M3JGNVC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1GTMV7M3JGNVC'}
