
1623981617.127762,A1ROEDVMTO9Y3X,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981617.129809,A1ROEDVMTO9Y3X,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981635.007156,A1ROEDVMTO9Y3X,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981637.619376,A1ROEDVMTO9Y3X,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981658.898393,A1ROEDVMTO9Y3X,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981661.883902,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981672.635282,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981672.634405,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981677.546545,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981678.469642,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981680.312029,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981682.770131,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981684.308103,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981685.535088,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981687.175585,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981688.298249,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981688.609795,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981691.68047,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981692.089853,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981692.907887,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981693.520149,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981695.672852,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981696.901756,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981699.358149,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981699.972578,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981700.096162,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981700.586171,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981700.775394,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981701.81565,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981701.996164,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981703.967227,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981704.57892,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981705.504343,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981707.34588,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981712.876472,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981714.417419,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1ROEDVMTO9Y3X'}
1623981719.019358,A1ROEDVMTO9Y3X,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1ROEDVMTO9Y3X'}
