
1624235673.877628,A1YXKN5ATSR5I1,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235684.529835,A1YXKN5ATSR5I1,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235693.742743,A1YXKN5ATSR5I1,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235699.581273,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235704.802877,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235704.803917,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235705.887087,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235706.647735,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235706.650667,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235708.490697,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235708.491477,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235709.412342,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235710.029994,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235710.163854,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235710.211103,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235710.314915,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235711.255861,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235711.255422,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A1YXKN5ATSR5I1'}
1624235712.177304,A1YXKN5ATSR5I1,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1YXKN5ATSR5I1'}
