
1624035489.854768,A21RK0LH2UJT77,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A21RK0LH2UJT77'}
1624035499.6833,A21RK0LH2UJT77,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A21RK0LH2UJT77'}
1624035515.656566,A21RK0LH2UJT77,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A21RK0LH2UJT77'}
1624035521.495345,A21RK0LH2UJT77,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A21RK0LH2UJT77'}
1624035536.554977,A21RK0LH2UJT77,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A21RK0LH2UJT77'}
1624035536.555505,A21RK0LH2UJT77,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A21RK0LH2UJT77'}
1624035539.31125,A21RK0LH2UJT77,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A21RK0LH2UJT77'}
1624035539.31047,A21RK0LH2UJT77,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A21RK0LH2UJT77'}
1624035539.313584,A21RK0LH2UJT77,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A21RK0LH2UJT77'}
1624035541.154564,A21RK0LH2UJT77,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A21RK0LH2UJT77'}
1624035541.155547,A21RK0LH2UJT77,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A21RK0LH2UJT77'}
1624035546.682784,A21RK0LH2UJT77,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A21RK0LH2UJT77'}
1624035546.683976,A21RK0LH2UJT77,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A21RK0LH2UJT77'}
1624035554.362766,A21RK0LH2UJT77,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A21RK0LH2UJT77'}
1624035554.363621,A21RK0LH2UJT77,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A21RK0LH2UJT77'}
1624035557.435248,A21RK0LH2UJT77,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A21RK0LH2UJT77'}
1624035559.278863,A21RK0LH2UJT77,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A21RK0LH2UJT77'}
