
1623971323.90318,A24T2AUA2ECVED,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A24T2AUA2ECVED'}
1623971346.328627,A24T2AUA2ECVED,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A24T2AUA2ECVED'}
1623971382.063936,A24T2AUA2ECVED,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A24T2AUA2ECVED'}
1623971388.105445,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A24T2AUA2ECVED'}
1623971432.341318,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A24T2AUA2ECVED'}
1623971432.342784,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A24T2AUA2ECVED'}
1623971456.610044,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A24T2AUA2ECVED'}
1623971456.610698,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A24T2AUA2ECVED'}
1623971456.61356,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A24T2AUA2ECVED'}
1623971463.366323,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A24T2AUA2ECVED'}
1623971463.367104,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A24T2AUA2ECVED'}
1623971470.744635,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A24T2AUA2ECVED'}
1623971474.426454,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A24T2AUA2ECVED'}
1623971475.353057,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A24T2AUA2ECVED'}
1623971475.355866,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A24T2AUA2ECVED'}
1623971479.956313,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A24T2AUA2ECVED'}
1623971481.797175,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A24T2AUA2ECVED'}
1623971483.945882,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A24T2AUA2ECVED'}
1623971489.171057,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A24T2AUA2ECVED'}
1623971490.234971,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A24T2AUA2ECVED'}
1623971491.327732,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A24T2AUA2ECVED'}
1623971491.328414,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A24T2AUA2ECVED'}
1623971492.247719,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A24T2AUA2ECVED'}
1623971493.162937,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A24T2AUA2ECVED'}
1623971494.391842,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A24T2AUA2ECVED'}
1623971501.149472,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A24T2AUA2ECVED'}
1623971502.687555,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A24T2AUA2ECVED'}
1623971504.837494,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A24T2AUA2ECVED'}
1623971513.439496,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A24T2AUA2ECVED'}
1623971513.440353,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A24T2AUA2ECVED'}
1623971527.878234,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A24T2AUA2ECVED'}
1623971527.879276,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A24T2AUA2ECVED'}
1623971563.817199,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A24T2AUA2ECVED'}
1623971563.818085,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A24T2AUA2ECVED'}
1623971567.812561,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A24T2AUA2ECVED'}
1623971571.804078,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A24T2AUA2ECVED'}
1623971571.804476,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A24T2AUA2ECVED'}
1623971572.726324,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A24T2AUA2ECVED'}
1623971584.099778,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A24T2AUA2ECVED'}
1623971585.321212,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A24T2AUA2ECVED'}
1623971590.236175,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A24T2AUA2ECVED'}
1623971590.237507,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A24T2AUA2ECVED'}
1623971591.637778,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A24T2AUA2ECVED'}
1623971592.692592,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A24T2AUA2ECVED'}
1623971593.305078,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A24T2AUA2ECVED'}
1623971595.147725,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A24T2AUA2ECVED'}
1623971595.351075,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A24T2AUA2ECVED'}
1623971597.912221,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A24T2AUA2ECVED'}
1623971599.448437,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A24T2AUA2ECVED'}
1623971600.063947,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A24T2AUA2ECVED'}
1623971600.985886,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A24T2AUA2ECVED'}
1623971603.135256,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A24T2AUA2ECVED'}
1623971603.136152,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A24T2AUA2ECVED'}
1623971603.952837,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A24T2AUA2ECVED'}
1623971607.130384,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A24T2AUA2ECVED'}
1623971607.131174,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A24T2AUA2ECVED'}
1623971608.981131,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A24T2AUA2ECVED'}
1623971609.897111,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A24T2AUA2ECVED'}
1623971612.018597,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A24T2AUA2ECVED'}
1623971615.119624,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A24T2AUA2ECVED'}
1623971619.110416,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A24T2AUA2ECVED'}
1623971619.109769,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A24T2AUA2ECVED'}
1623971620.340347,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A24T2AUA2ECVED'}
1623971620.650612,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A24T2AUA2ECVED'}
1623971622.492243,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A24T2AUA2ECVED'}
1623971626.177745,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A24T2AUA2ECVED'}
1623971628.942971,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A24T2AUA2ECVED'}
1623971630.171996,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A24T2AUA2ECVED'}
1623971632.245286,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A24T2AUA2ECVED'}
1623971632.935415,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A24T2AUA2ECVED'}
1623971635.084336,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A24T2AUA2ECVED'}
1623971636.006456,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A24T2AUA2ECVED'}
1623971636.92915,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A24T2AUA2ECVED'}
1623971636.930132,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A24T2AUA2ECVED'}
1623971644.423617,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A24T2AUA2ECVED'}
1623971644.424322,A24T2AUA2ECVED,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A24T2AUA2ECVED'}
