
1624049636.21321,A24ZQ9799KGBTO,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A24ZQ9799KGBTO'}
1624049657.717408,A24ZQ9799KGBTO,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A24ZQ9799KGBTO'}
1624049665.706134,A24ZQ9799KGBTO,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A24ZQ9799KGBTO'}
1624049669.392944,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A24ZQ9799KGBTO'}
1624049676.75592,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A24ZQ9799KGBTO'}
1624049676.758688,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A24ZQ9799KGBTO'}
1624049677.988384,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A24ZQ9799KGBTO'}
1624049677.989262,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A24ZQ9799KGBTO'}
1624049677.989726,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A24ZQ9799KGBTO'}
1624049679.52312,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A24ZQ9799KGBTO'}
1624049679.524576,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A24ZQ9799KGBTO'}
1624049743.083663,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A24ZQ9799KGBTO'}
1624049743.084924,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A24ZQ9799KGBTO'}
1624049744.041597,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A24ZQ9799KGBTO'}
1624049744.042058,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A24ZQ9799KGBTO'}
1624049774.44857,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A24ZQ9799KGBTO'}
1624049785.507707,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A24ZQ9799KGBTO'}
1624049786.121422,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A24ZQ9799KGBTO'}
1624049787.053025,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A24ZQ9799KGBTO'}
1624049787.976659,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A24ZQ9799KGBTO'}
1624049788.578848,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A24ZQ9799KGBTO'}
1624049789.519693,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A24ZQ9799KGBTO'}
1624049790.11845,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A24ZQ9799KGBTO'}
1624049790.737601,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A24ZQ9799KGBTO'}
1624049791.653025,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A24ZQ9799KGBTO'}
1624049792.264986,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A24ZQ9799KGBTO'}
1624049793.735232,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A24ZQ9799KGBTO'}
1624049795.039129,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A24ZQ9799KGBTO'}
1624049795.954186,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A24ZQ9799KGBTO'}
1624049796.575213,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A24ZQ9799KGBTO'}
1624049797.180774,A24ZQ9799KGBTO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A24ZQ9799KGBTO'}
