
1624232257.395544,A25BQO3PXRZ3JJ,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232261.154656,A25BQO3PXRZ3JJ,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232273.675913,A25BQO3PXRZ3JJ,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232277.020873,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232282.274104,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232282.275377,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232284.73317,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232284.734437,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232284.735315,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232299.17444,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232299.176353,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232302.24232,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232302.242766,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232305.311684,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232305.315859,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232309.306968,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A25BQO3PXRZ3JJ'}
1624232309.922079,A25BQO3PXRZ3JJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A25BQO3PXRZ3JJ'}
