
1624229266.781662,A25CZJEFKXF4UV,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A25CZJEFKXF4UV'}
1624229273.446172,A25CZJEFKXF4UV,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A25CZJEFKXF4UV'}
1624229283.195291,A25CZJEFKXF4UV,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A25CZJEFKXF4UV'}
1624229285.158684,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A25CZJEFKXF4UV'}
1624229358.520364,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A25CZJEFKXF4UV'}
1624229358.5276,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A25CZJEFKXF4UV'}
1624229368.437482,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A25CZJEFKXF4UV'}
1624229368.441557,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A25CZJEFKXF4UV'}
1624229368.442912,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A25CZJEFKXF4UV'}
1624229374.941815,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A25CZJEFKXF4UV'}
1624229374.943266,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A25CZJEFKXF4UV'}
1624229386.913651,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A25CZJEFKXF4UV'}
1624229386.914982,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A25CZJEFKXF4UV'}
1624229400.120788,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A25CZJEFKXF4UV'}
1624229400.122393,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A25CZJEFKXF4UV'}
1624229407.509705,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A25CZJEFKXF4UV'}
1624229408.113307,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A25CZJEFKXF4UV'}
1624229408.728548,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A25CZJEFKXF4UV'}
1624229409.64723,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A25CZJEFKXF4UV'}
1624229411.489928,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A25CZJEFKXF4UV'}
1624229418.246174,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A25CZJEFKXF4UV'}
1624229420.401377,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A25CZJEFKXF4UV'}
1624229421.319387,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A25CZJEFKXF4UV'}
1624229421.321662,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A25CZJEFKXF4UV'}
1624229430.227079,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A25CZJEFKXF4UV'}
1624229445.281637,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A25CZJEFKXF4UV'}
1624229445.315705,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A25CZJEFKXF4UV'}
1624229445.894387,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A25CZJEFKXF4UV'}
1624229446.510826,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A25CZJEFKXF4UV'}
1624229446.813139,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A25CZJEFKXF4UV'}
1624229447.437539,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A25CZJEFKXF4UV'}
1624229448.05223,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A25CZJEFKXF4UV'}
1624229448.161107,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A25CZJEFKXF4UV'}
1624229449.485715,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A25CZJEFKXF4UV'}
1624229450.201071,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A25CZJEFKXF4UV'}
1624229450.8095,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A25CZJEFKXF4UV'}
1624229451.42376,A25CZJEFKXF4UV,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A25CZJEFKXF4UV'}
