
1623968920.532188,A2SWQM5X54P1O5,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2SWQM5X54P1O5'}
1623968942.832968,A2SWQM5X54P1O5,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A2SWQM5X54P1O5'}
1623968961.343044,A2SWQM5X54P1O5,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2SWQM5X54P1O5'}
1623969000.435426,A2SWQM5X54P1O5,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2SWQM5X54P1O5'}
1623969012.72074,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A2SWQM5X54P1O5'}
1623969052.816834,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A2SWQM5X54P1O5'}
1623969052.817651,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A2SWQM5X54P1O5'}
1623969100.741922,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2SWQM5X54P1O5'}
1623969100.742579,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A2SWQM5X54P1O5'}
1623969100.741396,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A2SWQM5X54P1O5'}
1623969109.956849,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2SWQM5X54P1O5'}
1623969110.883179,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2SWQM5X54P1O5'}
1623969112.118248,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2SWQM5X54P1O5'}
1623969112.560074,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2SWQM5X54P1O5'}
1623969114.56627,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2SWQM5X54P1O5'}
1623969114.709472,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2SWQM5X54P1O5'}
1623969115.187267,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2SWQM5X54P1O5'}
1623969115.795192,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2SWQM5X54P1O5'}
1623969116.002888,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2SWQM5X54P1O5'}
1623969116.718444,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2SWQM5X54P1O5'}
1623969116.837682,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2SWQM5X54P1O5'}
1623969117.339504,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2SWQM5X54P1O5'}
1623969118.966812,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2SWQM5X54P1O5'}
1623969126.240212,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A2SWQM5X54P1O5'}
1623969126.241171,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A2SWQM5X54P1O5'}
1623969141.293083,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2SWQM5X54P1O5'}
1623969141.293726,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A2SWQM5X54P1O5'}
1623969164.644214,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2SWQM5X54P1O5'}
1623969164.645014,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A2SWQM5X54P1O5'}
1623969194.752664,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2SWQM5X54P1O5'}
1623969198.436054,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2SWQM5X54P1O5'}
1623969199.36229,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2SWQM5X54P1O5'}
1623969199.426518,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2SWQM5X54P1O5'}
1623969199.96962,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2SWQM5X54P1O5'}
1623969200.889543,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2SWQM5X54P1O5'}
1623969201.095385,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2SWQM5X54P1O5'}
1623969201.506293,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2SWQM5X54P1O5'}
1623969201.817412,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2SWQM5X54P1O5'}
1623969211.95264,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2SWQM5X54P1O5'}
1623969214.034842,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2SWQM5X54P1O5'}
1623969214.720459,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2SWQM5X54P1O5'}
1623969214.795156,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2SWQM5X54P1O5'}
1623969216.55977,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2SWQM5X54P1O5'}
1623969216.879605,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2SWQM5X54P1O5'}
1623969218.710022,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2SWQM5X54P1O5'}
1623969219.939931,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2SWQM5X54P1O5'}
1623969221.782432,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2SWQM5X54P1O5'}
1623969221.991528,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2SWQM5X54P1O5'}
1623969222.395903,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2SWQM5X54P1O5'}
1623969222.802768,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2SWQM5X54P1O5'}
1623969223.318706,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2SWQM5X54P1O5'}
1623969224.241082,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2SWQM5X54P1O5'}
1623969247.997215,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2SWQM5X54P1O5'}
1623969249.436196,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2SWQM5X54P1O5'}
1623969250.663004,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2SWQM5X54P1O5'}
1623969251.274551,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2SWQM5X54P1O5'}
1623969254.655012,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2SWQM5X54P1O5'}
1623969258.340284,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2SWQM5X54P1O5'}
1623969259.876512,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2SWQM5X54P1O5'}
1623969259.877393,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A2SWQM5X54P1O5'}
1623969268.171297,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2SWQM5X54P1O5'}
1623969269.094342,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2SWQM5X54P1O5'}
1623969269.707161,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2SWQM5X54P1O5'}
1623969270.3224,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2SWQM5X54P1O5'}
1623969270.72608,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2SWQM5X54P1O5'}
1623969271.137546,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2SWQM5X54P1O5'}
1623969271.859303,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2SWQM5X54P1O5'}
1623969272.78213,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2SWQM5X54P1O5'}
1623969273.400409,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2SWQM5X54P1O5'}
1623969273.682337,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2SWQM5X54P1O5'}
1623969274.207334,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2SWQM5X54P1O5'}
1623969274.826164,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2SWQM5X54P1O5'}
1623969275.546155,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2SWQM5X54P1O5'}
1623969278.30902,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2SWQM5X54P1O5'}
1623969278.417671,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2SWQM5X54P1O5'}
1623969279.842274,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2SWQM5X54P1O5'}
1623969280.047701,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2SWQM5X54P1O5'}
1623969281.382051,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A2SWQM5X54P1O5'}
1623969281.383087,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2SWQM5X54P1O5'}
1623969297.970257,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2SWQM5X54P1O5'}
1623969297.97097,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2SWQM5X54P1O5'}
1623969327.770905,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2SWQM5X54P1O5'}
1623969332.379042,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2SWQM5X54P1O5'}
1623969332.627446,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2SWQM5X54P1O5'}
1623969335.7639,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2SWQM5X54P1O5'}
1623969336.068002,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2SWQM5X54P1O5'}
1623969336.679531,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2SWQM5X54P1O5'}
1623969338.216912,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2SWQM5X54P1O5'}
1623969338.241719,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2SWQM5X54P1O5'}
1623969340.366853,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2SWQM5X54P1O5'}
1623969343.744335,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2SWQM5X54P1O5'}
1623969344.669876,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2SWQM5X54P1O5'}
1623969344.983019,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2SWQM5X54P1O5'}
1623969345.89675,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2SWQM5X54P1O5'}
1623969346.8179,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2SWQM5X54P1O5'}
1623969347.435231,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2SWQM5X54P1O5'}
1623969347.844244,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2SWQM5X54P1O5'}
1623969348.251595,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2SWQM5X54P1O5'}
1623969348.969213,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2SWQM5X54P1O5'}
1623969349.579237,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2SWQM5X54P1O5'}
1623969350.507955,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2SWQM5X54P1O5'}
1623969351.121239,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2SWQM5X54P1O5'}
1623969351.528244,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2SWQM5X54P1O5'}
1623969352.039186,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2SWQM5X54P1O5'}
1623969353.269756,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2SWQM5X54P1O5'}
1623969353.270391,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2SWQM5X54P1O5'}
1623969383.375802,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2SWQM5X54P1O5'}
1623969385.854665,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2SWQM5X54P1O5'}
1623969387.06269,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2SWQM5X54P1O5'}
1623969387.677391,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2SWQM5X54P1O5'}
1623969389.213386,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2SWQM5X54P1O5'}
1623969389.826071,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2SWQM5X54P1O5'}
1623969390.746247,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A2SWQM5X54P1O5'}
1623969390.95029,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2SWQM5X54P1O5'}
1623969391.671707,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2SWQM5X54P1O5'}
1623969392.285844,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A2SWQM5X54P1O5'}
1623969393.207415,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2SWQM5X54P1O5'}
1623969393.3808,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2SWQM5X54P1O5'}
1623969394.129877,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2SWQM5X54P1O5'}
1623969394.743472,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A2SWQM5X54P1O5'}
1623969395.357998,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2SWQM5X54P1O5'}
1623969395.665211,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2SWQM5X54P1O5'}
1623969396.890025,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2SWQM5X54P1O5'}
1623969397.812869,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2SWQM5X54P1O5'}
1623969398.428825,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A2SWQM5X54P1O5'}
1623969399.044676,A2SWQM5X54P1O5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A2SWQM5X54P1O5'}
