
1624137105.843671,A2TEPDJI6Q6RYU,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137126.42844,A2TEPDJI6Q6RYU,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137128.583491,A2TEPDJI6Q6RYU,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137185.511811,A2TEPDJI6Q6RYU,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137195.552657,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137199.237192,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137199.238101,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137227.192669,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137227.194221,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137227.194909,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137230.570174,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137230.571748,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137233.31119,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137234.259372,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137235.487765,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137235.488696,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137239.17297,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137239.173682,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137244.3971,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137249.619353,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137254.842511,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137257.607861,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137268.977097,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137272.144254,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137272.145423,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137274.810922,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137274.8119,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137282.183889,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137282.184568,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137286.175616,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137286.176393,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137314.747363,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137321.202163,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2TEPDJI6Q6RYU'}
1624137325.191466,A2TEPDJI6Q6RYU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A2TEPDJI6Q6RYU'}
