
1624042674.087328,A31A1PVXLJBISZ,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A31A1PVXLJBISZ'}
1624042723.237673,A31A1PVXLJBISZ,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A31A1PVXLJBISZ'}
1624042764.403842,A31A1PVXLJBISZ,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A31A1PVXLJBISZ'}
1624042770.246609,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A31A1PVXLJBISZ'}
1624042826.155464,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A31A1PVXLJBISZ'}
1624042826.154975,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A31A1PVXLJBISZ'}
1624042934.291568,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A31A1PVXLJBISZ'}
1624042934.290892,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A31A1PVXLJBISZ'}
1624042934.294578,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A31A1PVXLJBISZ'}
1624042951.798278,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A31A1PVXLJBISZ'}
1624042952.92152,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A31A1PVXLJBISZ'}
1624042953.646357,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A31A1PVXLJBISZ'}
1624042962.75181,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A31A1PVXLJBISZ'}
1624042966.237137,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A31A1PVXLJBISZ'}
1624042966.850529,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A31A1PVXLJBISZ'}
1624042966.958206,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A31A1PVXLJBISZ'}
1624042967.770944,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A31A1PVXLJBISZ'}
1624042968.181162,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A31A1PVXLJBISZ'}
1624042968.692867,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A31A1PVXLJBISZ'}
1624042970.536089,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A31A1PVXLJBISZ'}
1624042972.072271,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A31A1PVXLJBISZ'}
1624042973.915604,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A31A1PVXLJBISZ'}
1624042975.456922,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A31A1PVXLJBISZ'}
1624042976.066575,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A31A1PVXLJBISZ'}
1624043001.563454,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A31A1PVXLJBISZ'}
1624043001.564151,A31A1PVXLJBISZ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A31A1PVXLJBISZ'}
