
1620952726.364501,A35LWWZHYTBJES,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A35LWWZHYTBJES'}
1620952760.464474,A35LWWZHYTBJES,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A35LWWZHYTBJES'}
1620952777.357489,A35LWWZHYTBJES,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A35LWWZHYTBJES'}
1620952783.599638,A35LWWZHYTBJES,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A35LWWZHYTBJES'}
1620952858.455306,A35LWWZHYTBJES,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A35LWWZHYTBJES'}
1620952858.456259,A35LWWZHYTBJES,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A35LWWZHYTBJES'}
1624054884.756217,A35LWWZHYTBJES,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A35LWWZHYTBJES'}
1624054890.903796,A35LWWZHYTBJES,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A35LWWZHYTBJES'}
1624054899.810569,A35LWWZHYTBJES,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A35LWWZHYTBJES'}
1624054904.726778,A35LWWZHYTBJES,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A35LWWZHYTBJES'}
1624054910.869605,A35LWWZHYTBJES,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A35LWWZHYTBJES'}
1624054910.870969,A35LWWZHYTBJES,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A35LWWZHYTBJES'}
1624055028.223121,A35LWWZHYTBJES,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A35LWWZHYTBJES'}
1624055028.225631,A35LWWZHYTBJES,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A35LWWZHYTBJES'}
1624055028.227689,A35LWWZHYTBJES,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A35LWWZHYTBJES'}
1624055031.3952,A35LWWZHYTBJES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A35LWWZHYTBJES'}
1624055032.829787,A35LWWZHYTBJES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A35LWWZHYTBJES'}
1624055033.443498,A35LWWZHYTBJES,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A35LWWZHYTBJES'}
1624055034.674109,A35LWWZHYTBJES,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A35LWWZHYTBJES'}
