
1624135372.662341,A35S5YV2XL971J,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A35S5YV2XL971J'}
1624135382.740513,A35S5YV2XL971J,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A35S5YV2XL971J'}
1624135426.93307,A35S5YV2XL971J,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A35S5YV2XL971J'}
1624135438.938392,A35S5YV2XL971J,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A35S5YV2XL971J'}
1624135441.79215,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A35S5YV2XL971J'}
1624135444.255365,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A35S5YV2XL971J'}
1624135444.269307,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A35S5YV2XL971J'}
1624135446.287076,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A35S5YV2XL971J'}
1624135446.28859,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A35S5YV2XL971J'}
1624135446.291408,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A35S5YV2XL971J'}
1624135448.439482,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A35S5YV2XL971J'}
1624135448.440537,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A35S5YV2XL971J'}
1624135449.67,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A35S5YV2XL971J'}
1624135449.669115,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A35S5YV2XL971J'}
1624135451.204573,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A35S5YV2XL971J'}
1624135451.205937,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A35S5YV2XL971J'}
1624135481.308673,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A35S5YV2XL971J'}
1624135500.973063,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A35S5YV2XL971J'}
1624135500.976238,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A35S5YV2XL971J'}
1624135502.506955,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A35S5YV2XL971J'}
1624135502.508047,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A35S5YV2XL971J'}
1624135504.048364,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A35S5YV2XL971J'}
1624135504.049333,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A35S5YV2XL971J'}
1624135506.810664,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A35S5YV2XL971J'}
1624135506.810194,A35S5YV2XL971J,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A35S5YV2XL971J'}
