
1624064238.748881,A3JAENCLOQRECC,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3JAENCLOQRECC'}
1624064251.547462,A3JAENCLOQRECC,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A3JAENCLOQRECC'}
1624064273.068407,A3JAENCLOQRECC,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3JAENCLOQRECC'}
1624064278.387434,A3JAENCLOQRECC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A3JAENCLOQRECC'}
1624064312.477409,A3JAENCLOQRECC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A3JAENCLOQRECC'}
1624064312.478904,A3JAENCLOQRECC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A3JAENCLOQRECC'}
1624064315.862346,A3JAENCLOQRECC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3JAENCLOQRECC'}
1624064316.478394,A3JAENCLOQRECC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3JAENCLOQRECC'}
1624064316.477625,A3JAENCLOQRECC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3JAENCLOQRECC'}
1624064316.482415,A3JAENCLOQRECC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3JAENCLOQRECC'}
1624064317.089103,A3JAENCLOQRECC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3JAENCLOQRECC'}
1624064317.090637,A3JAENCLOQRECC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3JAENCLOQRECC'}
1624064317.152409,A3JAENCLOQRECC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3JAENCLOQRECC'}
1624064318.932099,A3JAENCLOQRECC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3JAENCLOQRECC'}
1624064319.544384,A3JAENCLOQRECC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3JAENCLOQRECC'}
1624064319.610807,A3JAENCLOQRECC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3JAENCLOQRECC'}
1624064320.465579,A3JAENCLOQRECC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3JAENCLOQRECC'}
1624064321.394715,A3JAENCLOQRECC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3JAENCLOQRECC'}
1624064321.586147,A3JAENCLOQRECC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3JAENCLOQRECC'}
1624064321.587761,A3JAENCLOQRECC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3JAENCLOQRECC'}
1624064321.797088,A3JAENCLOQRECC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3JAENCLOQRECC'}
1624064321.837684,A3JAENCLOQRECC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3JAENCLOQRECC'}
1624064326.915584,A3JAENCLOQRECC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A3JAENCLOQRECC'}
1624064326.916974,A3JAENCLOQRECC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A3JAENCLOQRECC'}
1624064326.916161,A3JAENCLOQRECC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3JAENCLOQRECC'}
1624064337.057095,A3JAENCLOQRECC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A3JAENCLOQRECC'}
1624064337.057765,A3JAENCLOQRECC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A3JAENCLOQRECC'}
1624064343.201018,A3JAENCLOQRECC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A3JAENCLOQRECC'}
1624064343.203367,A3JAENCLOQRECC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3JAENCLOQRECC'}
1624064346.577337,A3JAENCLOQRECC,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3JAENCLOQRECC'}
1624064346.577884,A3JAENCLOQRECC,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A3JAENCLOQRECC'}
1624064352.109481,A3JAENCLOQRECC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3JAENCLOQRECC'}
1624064352.749237,A3JAENCLOQRECC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3JAENCLOQRECC'}
1624064352.840511,A3JAENCLOQRECC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3JAENCLOQRECC'}
1624064353.338653,A3JAENCLOQRECC,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3JAENCLOQRECC'}
