
1625191916.459229,A3T7Y10HHQ1VLL,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625191929.444123,A3T7Y10HHQ1VLL,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625191964.073026,A3T7Y10HHQ1VLL,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625191967.99228,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625191986.496367,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625191986.495758,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192005.540667,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192005.541391,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192005.542055,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192010.762231,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192010.76606,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192019.668679,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192019.670104,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192027.050321,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192027.049787,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192056.917793,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192067.908228,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192068.819766,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192070.357269,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192071.895856,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192072.530391,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192073.432326,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192074.65908,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192075.273091,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192076.194803,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192077.427709,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192078.041172,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192079.140916,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192079.7755,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192080.49662,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3T7Y10HHQ1VLL'}
1625192081.415806,A3T7Y10HHQ1VLL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3T7Y10HHQ1VLL'}
