
1624046580.165868,A3TN4KFS5GKSPF,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046582.624547,A3TN4KFS5GKSPF,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046589.993519,A3TN4KFS5GKSPF,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046604.428435,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046623.78668,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046623.787384,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046625.628406,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046625.627871,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046625.629051,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046626.28759,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046626.32302,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046627.776085,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046627.777515,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046633.921644,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046633.922581,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046664.132001,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046670.171561,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046671.090868,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046672.013159,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046673.241773,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046674.164931,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046675.184814,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046675.799745,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046676.315064,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046676.695658,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046678.159585,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046679.385134,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046680.306527,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046680.921453,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046681.537231,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046682.151049,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046682.765469,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046683.380157,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046684.917819,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046684.919218,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046714.715762,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046754.969102,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046755.578172,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046756.188283,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046757.114592,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046758.032145,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046758.643648,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046759.871919,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046760.083414,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046761.409326,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046761.424176,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046762.638796,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046762.719674,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046763.868304,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046765.711471,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046765.83124,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046766.63447,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046766.723594,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046767.555486,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046767.556352,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046768.57382,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046768.581107,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046770.014261,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046770.015039,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046800.118514,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046802.884879,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046804.420374,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046805.650385,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046808.105934,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046809.126503,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046809.948074,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046811.1794,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046811.792327,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046812.100413,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046814.250053,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046814.250841,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046815.47641,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046815.510332,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046816.705882,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046817.320296,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046817.473678,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046818.241355,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046818.751012,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046818.937854,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046820.088253,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046820.105744,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046821.108701,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046821.109168,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046821.93243,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046821.933647,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046823.159106,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046823.772285,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046823.879485,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046825.307475,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046825.321582,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046826.847975,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046826.959297,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046828.172957,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046828.173957,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046828.580171,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046829.609685,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046830.532632,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046831.761887,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046831.762717,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046861.866551,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046955.875074,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046956.795962,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046957.408879,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046959.24639,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046959.325459,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046960.269965,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046960.377175,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046961.396046,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046961.397198,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046962.011785,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046962.059552,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046962.946594,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046962.955743,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046963.854853,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046963.855612,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046964.580811,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046964.581575,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046966.006669,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046966.005757,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046966.755747,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046967.064183,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046967.372643,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046967.56361,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046968.168035,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046968.365143,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046968.573735,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046969.69851,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046969.698996,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3TN4KFS5GKSPF'}
1624046970.310252,A3TN4KFS5GKSPF,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3TN4KFS5GKSPF'}
