
1624213147.821681,A3UDUHUVFKD833,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3UDUHUVFKD833'}
1624213149.445046,A3UDUHUVFKD833,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3UDUHUVFKD833'}
1624213156.200506,A3UDUHUVFKD833,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A3UDUHUVFKD833'}
1624213169.229955,A3UDUHUVFKD833,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3UDUHUVFKD833'}
1624213199.516826,A3UDUHUVFKD833,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3UDUHUVFKD833'}
1624213204.63295,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A3UDUHUVFKD833'}
1624213237.301705,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A3UDUHUVFKD833'}
1624213237.302547,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A3UDUHUVFKD833'}
1624213257.269825,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A3UDUHUVFKD833'}
1624213257.269223,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3UDUHUVFKD833'}
1624213257.279192,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A3UDUHUVFKD833'}
1624213265.251828,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A3UDUHUVFKD833'}
1624213265.252753,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A3UDUHUVFKD833'}
1624213274.477481,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3UDUHUVFKD833'}
1624213274.476677,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A3UDUHUVFKD833'}
1624213277.55021,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A3UDUHUVFKD833'}
1624213277.553208,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3UDUHUVFKD833'}
1624213307.646868,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3UDUHUVFKD833'}
1624213319.630993,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3UDUHUVFKD833'}
1624213320.242674,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3UDUHUVFKD833'}
1624213321.165389,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3UDUHUVFKD833'}
1624213321.77944,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3UDUHUVFKD833'}
1624213322.395127,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3UDUHUVFKD833'}
1624213323.006068,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3UDUHUVFKD833'}
1624213323.144511,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3UDUHUVFKD833'}
1624213323.930745,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3UDUHUVFKD833'}
1624213324.145603,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3UDUHUVFKD833'}
1624213324.850862,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3UDUHUVFKD833'}
1624213324.851439,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3UDUHUVFKD833'}
1624213326.083888,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3UDUHUVFKD833'}
1624213327.311195,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3UDUHUVFKD833'}
1624213327.924912,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3UDUHUVFKD833'}
1624213328.54135,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3UDUHUVFKD833'}
1624213329.463111,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3UDUHUVFKD833'}
1624213330.385821,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3UDUHUVFKD833'}
1624213331.305934,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3UDUHUVFKD833'}
1624213332.227615,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3UDUHUVFKD833'}
1624213333.149236,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3UDUHUVFKD833'}
1624213333.773718,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3UDUHUVFKD833'}
1624213335.605683,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A3UDUHUVFKD833'}
1624213335.606891,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3UDUHUVFKD833'}
1624213365.401462,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3UDUHUVFKD833'}
1624213368.166248,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3UDUHUVFKD833'}
1624213368.477983,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3UDUHUVFKD833'}
1624213369.394803,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3UDUHUVFKD833'}
1624213370.627243,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3UDUHUVFKD833'}
1624213372.16022,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3UDUHUVFKD833'}
1624213373.081639,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3UDUHUVFKD833'}
1624213374.007722,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3UDUHUVFKD833'}
1624213374.930363,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3UDUHUVFKD833'}
1624213375.544346,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3UDUHUVFKD833'}
1624213376.467149,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3UDUHUVFKD833'}
1624213376.775157,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3UDUHUVFKD833'}
1624213377.280832,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3UDUHUVFKD833'}
1624213378.308697,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3UDUHUVFKD833'}
1624213379.22984,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3UDUHUVFKD833'}
1624213379.535987,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3UDUHUVFKD833'}
1624213380.456899,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3UDUHUVFKD833'}
1624213380.764059,A3UDUHUVFKD833,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3UDUHUVFKD833'}
