
1621100912.210699,ASS8RE4GEBJK6,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'ASS8RE4GEBJK6'}
1621100918.572397,ASS8RE4GEBJK6,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'ASS8RE4GEBJK6'}
1621100962.572101,ASS8RE4GEBJK6,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'ASS8RE4GEBJK6'}
1621100966.151427,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'ASS8RE4GEBJK6'}
1621100981.309188,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'ASS8RE4GEBJK6'}
1621100981.30985,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'ASS8RE4GEBJK6'}
1621100984.076843,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'ASS8RE4GEBJK6'}
1621100984.077603,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'ASS8RE4GEBJK6'}
1621100984.171106,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'ASS8RE4GEBJK6'}
1621100988.374751,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'ASS8RE4GEBJK6'}
1621100990.525186,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'ASS8RE4GEBJK6'}
1621100991.446008,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'ASS8RE4GEBJK6'}
1621100995.133238,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'ASS8RE4GEBJK6'}
1621100995.133787,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'ASS8RE4GEBJK6'}
1621100999.127474,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'ASS8RE4GEBJK6'}
1621100999.743971,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'ASS8RE4GEBJK6'}
1621101003.427377,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'ASS8RE4GEBJK6'}
1621101016.02558,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'ASS8RE4GEBJK6'}
1621101016.026469,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'ASS8RE4GEBJK6'}
1621101022.174333,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'ASS8RE4GEBJK6'}
1621101022.177954,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'ASS8RE4GEBJK6'}
1621101032.92415,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'ASS8RE4GEBJK6'}
1621101033.537119,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'ASS8RE4GEBJK6'}
1621101036.452817,ASS8RE4GEBJK6,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'ASS8RE4GEBJK6'}
