
1624155429.129571,AVUI25K9PIY6Z,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AVUI25K9PIY6Z'}
1624155435.072735,AVUI25K9PIY6Z,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'AVUI25K9PIY6Z'}
1624155445.515364,AVUI25K9PIY6Z,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AVUI25K9PIY6Z'}
1624155462.720242,AVUI25K9PIY6Z,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AVUI25K9PIY6Z'}
1624155473.163038,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155478.932811,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AVUI25K9PIY6Z'}
1624155479.916835,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155480.840864,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AVUI25K9PIY6Z'}
1624155484.528379,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155484.529463,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'AVUI25K9PIY6Z'}
1624155494.051475,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AVUI25K9PIY6Z'}
1624155494.664057,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AVUI25K9PIY6Z'}
1624155496.508912,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155497.123944,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155498.352974,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155502.652568,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155503.881269,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155505.110643,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AVUI25K9PIY6Z'}
1624155508.484778,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AVUI25K9PIY6Z'}
1624155508.48535,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AVUI25K9PIY6Z'}
1624155508.501828,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AVUI25K9PIY6Z'}
1624155512.171241,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155516.47924,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AVUI25K9PIY6Z'}
1624155521.07941,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155522.004694,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AVUI25K9PIY6Z'}
1624155524.459827,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AVUI25K9PIY6Z'}
1624155524.768077,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AVUI25K9PIY6Z'}
1624155525.074779,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AVUI25K9PIY6Z'}
1624155525.686186,AVUI25K9PIY6Z,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AVUI25K9PIY6Z'}
