
1623977445.69463,AW0MG225VXWCN,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AW0MG225VXWCN'}
1623977450.443022,AW0MG225VXWCN,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'AW0MG225VXWCN'}
1623977462.011481,AW0MG225VXWCN,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AW0MG225VXWCN'}
1623977513.26895,AW0MG225VXWCN,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AW0MG225VXWCN'}
1623977515.880884,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'AW0MG225VXWCN'}
1623977546.910324,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'AW0MG225VXWCN'}
1623977546.909871,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'AW0MG225VXWCN'}
1623977647.051714,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AW0MG225VXWCN'}
1623977647.053068,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'AW0MG225VXWCN'}
1623977647.098384,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'AW0MG225VXWCN'}
1623977654.145243,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AW0MG225VXWCN'}
1623977655.038398,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AW0MG225VXWCN'}
1623977655.656521,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AW0MG225VXWCN'}
1623977655.829924,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AW0MG225VXWCN'}
1623977656.572677,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AW0MG225VXWCN'}
1623977657.192928,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AW0MG225VXWCN'}
1623977657.495823,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AW0MG225VXWCN'}
1623977658.420604,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AW0MG225VXWCN'}
1623977659.032383,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AW0MG225VXWCN'}
1623977659.64758,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AW0MG225VXWCN'}
1623977659.937376,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AW0MG225VXWCN'}
1623977660.567553,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AW0MG225VXWCN'}
1623977661.491047,AW0MG225VXWCN,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AW0MG225VXWCN'}
