
1624063828.388826,AXMPSUNKUBEIL,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AXMPSUNKUBEIL'}
1624063834.704828,AXMPSUNKUBEIL,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'AXMPSUNKUBEIL'}
1624063853.077927,AXMPSUNKUBEIL,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AXMPSUNKUBEIL'}
1624063857.245006,AXMPSUNKUBEIL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'AXMPSUNKUBEIL'}
1624063881.482216,AXMPSUNKUBEIL,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'AXMPSUNKUBEIL'}
1624063881.481475,AXMPSUNKUBEIL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'AXMPSUNKUBEIL'}
1624063936.16114,AXMPSUNKUBEIL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AXMPSUNKUBEIL'}
1624063936.162029,AXMPSUNKUBEIL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'AXMPSUNKUBEIL'}
1624063936.167219,AXMPSUNKUBEIL,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'AXMPSUNKUBEIL'}
1624063945.067003,AXMPSUNKUBEIL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AXMPSUNKUBEIL'}
1624063945.991366,AXMPSUNKUBEIL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AXMPSUNKUBEIL'}
1624063946.910214,AXMPSUNKUBEIL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AXMPSUNKUBEIL'}
1624063946.910771,AXMPSUNKUBEIL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AXMPSUNKUBEIL'}
1624063948.753525,AXMPSUNKUBEIL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AXMPSUNKUBEIL'}
1624063949.373077,AXMPSUNKUBEIL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AXMPSUNKUBEIL'}
1624063949.568013,AXMPSUNKUBEIL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AXMPSUNKUBEIL'}
1624063949.9819,AXMPSUNKUBEIL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AXMPSUNKUBEIL'}
1624063950.666815,AXMPSUNKUBEIL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AXMPSUNKUBEIL'}
1624063950.852396,AXMPSUNKUBEIL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AXMPSUNKUBEIL'}
1624063951.104152,AXMPSUNKUBEIL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AXMPSUNKUBEIL'}
1624063951.827327,AXMPSUNKUBEIL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AXMPSUNKUBEIL'}
1624063951.828585,AXMPSUNKUBEIL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AXMPSUNKUBEIL'}
1624063951.988438,AXMPSUNKUBEIL,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AXMPSUNKUBEIL'}
1624063953.364003,AXMPSUNKUBEIL,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'AXMPSUNKUBEIL'}
1624063953.365357,AXMPSUNKUBEIL,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'AXMPSUNKUBEIL'}
