
1624229571.336916,AXY0D2AMLKE2A,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AXY0D2AMLKE2A'}
1624229582.903632,AXY0D2AMLKE2A,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'AXY0D2AMLKE2A'}
1624229712.391836,AXY0D2AMLKE2A,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AXY0D2AMLKE2A'}
1624229754.256134,AXY0D2AMLKE2A,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AXY0D2AMLKE2A'}
1624229759.851443,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'AXY0D2AMLKE2A'}
1624229781.044808,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'AXY0D2AMLKE2A'}
1624229781.045322,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'AXY0D2AMLKE2A'}
1624229848.326625,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'AXY0D2AMLKE2A'}
1624229848.327398,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AXY0D2AMLKE2A'}
1624229848.328224,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'AXY0D2AMLKE2A'}
1624229857.847724,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AXY0D2AMLKE2A'}
1624229858.768079,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AXY0D2AMLKE2A'}
1624229858.901541,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AXY0D2AMLKE2A'}
1624229859.999019,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AXY0D2AMLKE2A'}
1624229860.029408,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AXY0D2AMLKE2A'}
1624229862.453785,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'AXY0D2AMLKE2A'}
1624229862.461569,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'AXY0D2AMLKE2A'}
1624229877.515705,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'AXY0D2AMLKE2A'}
1624229877.516567,AXY0D2AMLKE2A,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AXY0D2AMLKE2A'}
