
1619815580.109102,A10JXOU89D5RXR,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A10JXOU89D5RXR'}
1619815593.06152,A10JXOU89D5RXR,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A10JXOU89D5RXR'}
1619815615.726824,A10JXOU89D5RXR,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A10JXOU89D5RXR'}
1619815651.35346,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A10JXOU89D5RXR'}
1619815697.824046,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A10JXOU89D5RXR'}
1619815697.825377,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A10JXOU89D5RXR'}
1619815745.78125,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A10JXOU89D5RXR'}
1619815745.782972,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A10JXOU89D5RXR'}
1619815745.786274,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A10JXOU89D5RXR'}
1619815758.405438,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10JXOU89D5RXR'}
1619815759.658327,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10JXOU89D5RXR'}
1619815760.807311,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10JXOU89D5RXR'}
1619815761.653557,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10JXOU89D5RXR'}
1619815764.568129,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10JXOU89D5RXR'}
1619815765.508685,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10JXOU89D5RXR'}
1619815766.865334,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10JXOU89D5RXR'}
1619815767.805132,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10JXOU89D5RXR'}
1619815769.061021,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A10JXOU89D5RXR'}
1619815769.895225,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A10JXOU89D5RXR'}
1619815770.73006,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A10JXOU89D5RXR'}
1619815770.941227,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A10JXOU89D5RXR'}
1619815772.611941,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A10JXOU89D5RXR'}
1619815772.611283,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A10JXOU89D5RXR'}
1619815789.113849,A10JXOU89D5RXR,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A10JXOU89D5RXR'}
