
1619541790.016662,A13FUEPWBCLBUY,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A13FUEPWBCLBUY'}
1619541798.180475,A13FUEPWBCLBUY,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A13FUEPWBCLBUY'}
1619541819.158036,A13FUEPWBCLBUY,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A13FUEPWBCLBUY'}
1619541936.374591,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A13FUEPWBCLBUY'}
1619541966.223943,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A13FUEPWBCLBUY'}
1619541966.224729,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A13FUEPWBCLBUY'}
1619541980.327686,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A13FUEPWBCLBUY'}
1619541980.328544,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A13FUEPWBCLBUY'}
1619541980.330604,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A13FUEPWBCLBUY'}
1619541991.188199,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A13FUEPWBCLBUY'}
1619541991.191552,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A13FUEPWBCLBUY'}
1619541998.874411,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A13FUEPWBCLBUY'}
1619541998.903751,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A13FUEPWBCLBUY'}
1619542001.719928,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A13FUEPWBCLBUY'}
1619542001.724873,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A13FUEPWBCLBUY'}
1619542031.743705,A13FUEPWBCLBUY,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A13FUEPWBCLBUY'}
