
1619912585.557301,A1JADORW8YJNOT,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1JADORW8YJNOT'}
1619912603.002241,A1JADORW8YJNOT,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A1JADORW8YJNOT'}
1619912610.815406,A1JADORW8YJNOT,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1JADORW8YJNOT'}
1619912616.489002,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A1JADORW8YJNOT'}
1619912635.593423,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A1JADORW8YJNOT'}
1619912635.594256,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A1JADORW8YJNOT'}
1619912659.090304,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A1JADORW8YJNOT'}
1619912659.09106,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1JADORW8YJNOT'}
1619912659.406123,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A1JADORW8YJNOT'}
1619912665.358466,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1JADORW8YJNOT'}
1619912666.713859,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1JADORW8YJNOT'}
1619912667.343658,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1JADORW8YJNOT'}
1619912668.503558,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A1JADORW8YJNOT'}
1619912668.547519,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A1JADORW8YJNOT'}
1619912671.527523,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A1JADORW8YJNOT'}
1619912671.532242,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1JADORW8YJNOT'}
1619912673.120511,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1JADORW8YJNOT'}
1619912673.816342,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1JADORW8YJNOT'}
1619912675.48963,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A1JADORW8YJNOT'}
1619912675.491405,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1JADORW8YJNOT'}
1619912705.573351,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1JADORW8YJNOT'}
1619912724.056416,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1JADORW8YJNOT'}
1619912724.683248,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1JADORW8YJNOT'}
1619912725.727434,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1JADORW8YJNOT'}
1619912726.354306,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1JADORW8YJNOT'}
1619912727.503144,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1JADORW8YJNOT'}
1619912728.577692,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1JADORW8YJNOT'}
1619912729.483683,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1JADORW8YJNOT'}
1619912730.006005,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1JADORW8YJNOT'}
1619912730.533286,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1JADORW8YJNOT'}
1619912731.056927,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1JADORW8YJNOT'}
1619912731.68787,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1JADORW8YJNOT'}
1619912732.416328,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1JADORW8YJNOT'}
1619912733.025224,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1JADORW8YJNOT'}
1619912733.880539,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1JADORW8YJNOT'}
1619912734.606687,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1JADORW8YJNOT'}
1619912735.129704,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1JADORW8YJNOT'}
1619912735.859375,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1JADORW8YJNOT'}
1619912737.008969,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1JADORW8YJNOT'}
1619912737.426653,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1JADORW8YJNOT'}
1619912766.99625,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1JADORW8YJNOT'}
1619912769.178884,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1JADORW8YJNOT'}
1619912770.119073,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1JADORW8YJNOT'}
1619912771.059122,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1JADORW8YJNOT'}
1619912771.685594,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1JADORW8YJNOT'}
1619912771.998596,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1JADORW8YJNOT'}
1619912772.515997,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1JADORW8YJNOT'}
1619912773.361448,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1JADORW8YJNOT'}
1619912773.983568,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1JADORW8YJNOT'}
1619912774.609947,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1JADORW8YJNOT'}
1619912775.236725,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1JADORW8YJNOT'}
1619912776.486449,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1JADORW8YJNOT'}
1619912776.487614,A1JADORW8YJNOT,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1JADORW8YJNOT'}
