
1614260568.061573,A1OHY9EPNQE37J,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1OHY9EPNQE37J'}
1614260611.615984,A1OHY9EPNQE37J,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A1OHY9EPNQE37J'}
1614260633.65085,A1OHY9EPNQE37J,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1OHY9EPNQE37J'}
1614260636.682031,A1OHY9EPNQE37J,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A1OHY9EPNQE37J'}
1614260682.092163,A1OHY9EPNQE37J,{'stage': 'connect', 'action': 'opened-page', 'worker-id': 'A1OHY9EPNQE37J'}
1614261400.742109,A1OHY9EPNQE37J,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1OHY9EPNQE37J'}
1614261499.132232,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A1OHY9EPNQE37J'}
1614261509.783905,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A1OHY9EPNQE37J'}
1614261510.305514,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A1OHY9EPNQE37J'}
1614261525.868793,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1OHY9EPNQE37J'}
1614261528.27115,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1OHY9EPNQE37J'}
1614261529.40295,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1OHY9EPNQE37J'}
1614261555.950772,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A1OHY9EPNQE37J'}
1614261555.965389,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1OHY9EPNQE37J'}
1614261555.974282,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A1OHY9EPNQE37J'}
1614261563.679041,A1OHY9EPNQE37J,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1OHY9EPNQE37J'}
