
1619806021.491284,A1V12EEDWM5F2H,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1V12EEDWM5F2H'}
1619806031.838284,A1V12EEDWM5F2H,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A1V12EEDWM5F2H'}
1619806043.529536,A1V12EEDWM5F2H,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1V12EEDWM5F2H'}
1619806050.841683,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A1V12EEDWM5F2H'}
1619806075.800106,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A1V12EEDWM5F2H'}
1619806075.801226,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A1V12EEDWM5F2H'}
1619806081.778556,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1V12EEDWM5F2H'}
1619806081.77952,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A1V12EEDWM5F2H'}
1619806081.929085,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A1V12EEDWM5F2H'}
1619806089.592859,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1V12EEDWM5F2H'}
1619806091.367601,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1V12EEDWM5F2H'}
1619806093.459964,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1V12EEDWM5F2H'}
1619806095.026384,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A1V12EEDWM5F2H'}
1619806095.027055,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A1V12EEDWM5F2H'}
1619806115.810359,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1V12EEDWM5F2H'}
1619806115.811185,A1V12EEDWM5F2H,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A1V12EEDWM5F2H'}
