
1614271225.571739,A23GBTXA6K7D4Y,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A23GBTXA6K7D4Y'}
1614271515.93102,A23GBTXA6K7D4Y,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A23GBTXA6K7D4Y'}
1614272175.936196,A23GBTXA6K7D4Y,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A23GBTXA6K7D4Y'}
1614272182.72455,A23GBTXA6K7D4Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A23GBTXA6K7D4Y'}
1614272387.65163,A23GBTXA6K7D4Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A23GBTXA6K7D4Y'}
1614272387.653072,A23GBTXA6K7D4Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A23GBTXA6K7D4Y'}
1614272444.265168,A23GBTXA6K7D4Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A23GBTXA6K7D4Y'}
1614272444.262395,A23GBTXA6K7D4Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A23GBTXA6K7D4Y'}
1614272444.266309,A23GBTXA6K7D4Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A23GBTXA6K7D4Y'}
1614272461.448963,A23GBTXA6K7D4Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A23GBTXA6K7D4Y'}
1614272462.644011,A23GBTXA6K7D4Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A23GBTXA6K7D4Y'}
1614272463.374001,A23GBTXA6K7D4Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A23GBTXA6K7D4Y'}
1614272464.627747,A23GBTXA6K7D4Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A23GBTXA6K7D4Y'}
