
1619657233.712733,A2871R3LEPWMMK,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2871R3LEPWMMK'}
1619657241.544327,A2871R3LEPWMMK,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A2871R3LEPWMMK'}
1619657267.233648,A2871R3LEPWMMK,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2871R3LEPWMMK'}
1619657269.235552,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A2871R3LEPWMMK'}
1619657300.008489,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A2871R3LEPWMMK'}
1619657300.009241,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A2871R3LEPWMMK'}
1619657362.288186,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A2871R3LEPWMMK'}
1619657362.314916,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2871R3LEPWMMK'}
1619657362.315465,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A2871R3LEPWMMK'}
1619657369.854498,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2871R3LEPWMMK'}
1619657370.406722,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2871R3LEPWMMK'}
1619657371.031326,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2871R3LEPWMMK'}
1619657371.55089,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2871R3LEPWMMK'}
1619657375.840375,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2871R3LEPWMMK'}
1619657376.151519,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2871R3LEPWMMK'}
1619657376.571447,A2871R3LEPWMMK,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2871R3LEPWMMK'}
