
1614274765.852197,A2DP3VTWJJ5P0W,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2DP3VTWJJ5P0W'}
1614274773.923557,A2DP3VTWJJ5P0W,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A2DP3VTWJJ5P0W'}
1614274801.037525,A2DP3VTWJJ5P0W,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2DP3VTWJJ5P0W'}
1614274809.554849,A2DP3VTWJJ5P0W,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A2DP3VTWJJ5P0W'}
1614274863.923466,A2DP3VTWJJ5P0W,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A2DP3VTWJJ5P0W'}
1614274863.922625,A2DP3VTWJJ5P0W,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A2DP3VTWJJ5P0W'}
1614274937.273593,A2DP3VTWJJ5P0W,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A2DP3VTWJJ5P0W'}
1614274937.276461,A2DP3VTWJJ5P0W,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2DP3VTWJJ5P0W'}
1614274937.300001,A2DP3VTWJJ5P0W,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A2DP3VTWJJ5P0W'}
1614274951.051456,A2DP3VTWJJ5P0W,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A2DP3VTWJJ5P0W'}
1614274951.055567,A2DP3VTWJJ5P0W,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A2DP3VTWJJ5P0W'}
1614274975.373419,A2DP3VTWJJ5P0W,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A2DP3VTWJJ5P0W'}
1614274975.376362,A2DP3VTWJJ5P0W,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2DP3VTWJJ5P0W'}
1614275008.381227,A2DP3VTWJJ5P0W,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A2DP3VTWJJ5P0W'}
1614275008.382973,A2DP3VTWJJ5P0W,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2DP3VTWJJ5P0W'}
1614275038.064106,A2DP3VTWJJ5P0W,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2DP3VTWJJ5P0W'}
1614275068.073661,A2DP3VTWJJ5P0W,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2DP3VTWJJ5P0W'}
1614275068.532242,A2DP3VTWJJ5P0W,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2DP3VTWJJ5P0W'}
1614275069.37655,A2DP3VTWJJ5P0W,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A2DP3VTWJJ5P0W'}
1614275071.478636,A2DP3VTWJJ5P0W,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A2DP3VTWJJ5P0W'}
1614275072.530771,A2DP3VTWJJ5P0W,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A2DP3VTWJJ5P0W'}
