
1614017106.831381,A2G94HZV0UJEKU,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2G94HZV0UJEKU'}
1614017111.431554,A2G94HZV0UJEKU,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A2G94HZV0UJEKU'}
1614017131.192022,A2G94HZV0UJEKU,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2G94HZV0UJEKU'}
1614017135.322845,A2G94HZV0UJEKU,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A2G94HZV0UJEKU'}
1614017148.967175,A2G94HZV0UJEKU,{'stage': 'connect', 'action': 'opened-page', 'worker-id': 'A2G94HZV0UJEKU'}
1614017721.426161,A2G94HZV0UJEKU,A2G94HZV0UJEKU,1,3,24,7,7,10,6,1,25,1,3,3,3,2,10,0,
1614017721.427032,A2G94HZV0UJEKU,{'worker-id': 'A2G94HZV0UJEKU', 'stage': 'networks', 'data': 'A2G94HZV0UJEKU,1,3,24,7,7,10,6,1,25,1,3,3,3,2,10,0,'}
1614017722.574057,A2G94HZV0UJEKU,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2G94HZV0UJEKU'}
1614017732.913969,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A2G94HZV0UJEKU'}
1614017741.333719,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A2G94HZV0UJEKU'}
1614017741.341084,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A2G94HZV0UJEKU'}
1614017742.941166,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2G94HZV0UJEKU'}
1614017742.944604,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A2G94HZV0UJEKU'}
1614017743.252993,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A2G94HZV0UJEKU'}
1614017744.404004,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A2G94HZV0UJEKU'}
1614017744.401883,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A2G94HZV0UJEKU'}
1614017746.911695,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A2G94HZV0UJEKU'}
1614017746.909776,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2G94HZV0UJEKU'}
1614017748.805766,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A2G94HZV0UJEKU'}
1614017748.831649,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2G94HZV0UJEKU'}
1614017760.696639,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2G94HZV0UJEKU'}
1614017761.213838,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2G94HZV0UJEKU'}
1614017762.472565,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2G94HZV0UJEKU'}
1614017764.040136,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2G94HZV0UJEKU'}
1614017764.980577,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A2G94HZV0UJEKU'}
1614017767.17338,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A2G94HZV0UJEKU'}
1614017767.17558,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A2G94HZV0UJEKU'}
1614017767.251554,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A2G94HZV0UJEKU'}
1614017767.694445,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2G94HZV0UJEKU'}
1614017768.738931,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2G94HZV0UJEKU'}
1614017770.514814,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2G94HZV0UJEKU'}
1614017771.560549,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2G94HZV0UJEKU'}
1614017771.571406,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2G94HZV0UJEKU'}
1614017772.186909,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2G94HZV0UJEKU'}
1614017775.424202,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2G94HZV0UJEKU'}
1614017775.737378,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2G94HZV0UJEKU'}
1614017776.051724,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2G94HZV0UJEKU'}
1614017776.675785,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2G94HZV0UJEKU'}
1614017776.990849,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2G94HZV0UJEKU'}
1614017777.199438,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A2G94HZV0UJEKU'}
1614017778.140704,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2G94HZV0UJEKU'}
1614017778.453545,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2G94HZV0UJEKU'}
1614017778.455793,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2G94HZV0UJEKU'}
1614017778.765844,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2G94HZV0UJEKU'}
1614017778.780638,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2G94HZV0UJEKU'}
1614017778.819843,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2G94HZV0UJEKU'}
1614017778.925906,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2G94HZV0UJEKU'}
1614017779.093088,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2G94HZV0UJEKU'}
1614017779.498056,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2G94HZV0UJEKU'}
1614017779.810353,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2G94HZV0UJEKU'}
1614017779.9272,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2G94HZV0UJEKU'}
1614017780.230993,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A2G94HZV0UJEKU'}
1614017782.944359,A2G94HZV0UJEKU,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A2G94HZV0UJEKU'}
