
1614304783.712793,A2ONILC0LZKG6Y,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2ONILC0LZKG6Y'}
1614304791.145521,A2ONILC0LZKG6Y,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A2ONILC0LZKG6Y'}
1614304810.589578,A2ONILC0LZKG6Y,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2ONILC0LZKG6Y'}
1614304813.466009,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A2ONILC0LZKG6Y'}
1614304837.603552,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A2ONILC0LZKG6Y'}
1614304837.606082,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A2ONILC0LZKG6Y'}
1614304894.214111,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A2ONILC0LZKG6Y'}
1614304894.240633,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2ONILC0LZKG6Y'}
1614304894.242728,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A2ONILC0LZKG6Y'}
1614304902.467234,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2ONILC0LZKG6Y'}
1614304902.988676,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2ONILC0LZKG6Y'}
1614304903.302249,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2ONILC0LZKG6Y'}
1614304903.928708,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A2ONILC0LZKG6Y'}
1614304904.974707,A2ONILC0LZKG6Y,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A2ONILC0LZKG6Y'}
