
1619977269.412667,A2YC6PEMIRSOAA,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977277.473223,A2YC6PEMIRSOAA,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977300.108969,A2YC6PEMIRSOAA,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977306.821756,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977361.238387,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977361.239418,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977447.93149,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977447.932452,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977447.933315,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977457.65429,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977457.653794,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977491.381588,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977491.383336,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977535.14676,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977535.147257,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977565.144058,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977590.295739,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977590.296748,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977605.928651,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A2YC6PEMIRSOAA'}
1619977605.935014,A2YC6PEMIRSOAA,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A2YC6PEMIRSOAA'}
