
1614279766.161542,A3E6CBPKULWOIH,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3E6CBPKULWOIH'}
1614279774.203346,A3E6CBPKULWOIH,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A3E6CBPKULWOIH'}
1614279806.269044,A3E6CBPKULWOIH,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3E6CBPKULWOIH'}
1614279819.187356,A3E6CBPKULWOIH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A3E6CBPKULWOIH'}
1614279830.866029,A3E6CBPKULWOIH,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A3E6CBPKULWOIH'}
1614279831.23256,A3E6CBPKULWOIH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A3E6CBPKULWOIH'}
1614279837.630759,A3E6CBPKULWOIH,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A3E6CBPKULWOIH'}
1614279837.748016,A3E6CBPKULWOIH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3E6CBPKULWOIH'}
1614279837.751113,A3E6CBPKULWOIH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A3E6CBPKULWOIH'}
1614279839.75015,A3E6CBPKULWOIH,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A3E6CBPKULWOIH'}
1614279839.754544,A3E6CBPKULWOIH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A3E6CBPKULWOIH'}
1614279843.661658,A3E6CBPKULWOIH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3E6CBPKULWOIH'}
1614279843.662956,A3E6CBPKULWOIH,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A3E6CBPKULWOIH'}
1614279846.899659,A3E6CBPKULWOIH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3E6CBPKULWOIH'}
1614279846.900225,A3E6CBPKULWOIH,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A3E6CBPKULWOIH'}
1614279876.934096,A3E6CBPKULWOIH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3E6CBPKULWOIH'}
1614279884.810545,A3E6CBPKULWOIH,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A3E6CBPKULWOIH'}
1614279885.123476,A3E6CBPKULWOIH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A3E6CBPKULWOIH'}
1614279885.542148,A3E6CBPKULWOIH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3E6CBPKULWOIH'}
1614279885.544438,A3E6CBPKULWOIH,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A3E6CBPKULWOIH'}
1614279887.109038,A3E6CBPKULWOIH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A3E6CBPKULWOIH'}
1614279887.111315,A3E6CBPKULWOIH,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A3E6CBPKULWOIH'}
1614279893.063056,A3E6CBPKULWOIH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3E6CBPKULWOIH'}
1614279893.584297,A3E6CBPKULWOIH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A3E6CBPKULWOIH'}
1614279893.896681,A3E6CBPKULWOIH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A3E6CBPKULWOIH'}
1614279894.523955,A3E6CBPKULWOIH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3E6CBPKULWOIH'}
1614279894.99142,A3E6CBPKULWOIH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3E6CBPKULWOIH'}
1614279895.776956,A3E6CBPKULWOIH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3E6CBPKULWOIH'}
1614279896.925075,A3E6CBPKULWOIH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A3E6CBPKULWOIH'}
1614279898.70454,A3E6CBPKULWOIH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A3E6CBPKULWOIH'}
1614279899.119337,A3E6CBPKULWOIH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A3E6CBPKULWOIH'}
1614279901.731036,A3E6CBPKULWOIH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A3E6CBPKULWOIH'}
1614279901.939896,A3E6CBPKULWOIH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A3E6CBPKULWOIH'}
1614279902.365983,A3E6CBPKULWOIH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A3E6CBPKULWOIH'}
1614279907.162419,A3E6CBPKULWOIH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3E6CBPKULWOIH'}
1614279907.417377,A3E6CBPKULWOIH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A3E6CBPKULWOIH'}
1614279907.581028,A3E6CBPKULWOIH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A3E6CBPKULWOIH'}
1614279908.639867,A3E6CBPKULWOIH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A3E6CBPKULWOIH'}
1614279913.357897,A3E6CBPKULWOIH,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A3E6CBPKULWOIH'}
1614279913.389485,A3E6CBPKULWOIH,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3E6CBPKULWOIH'}
1614279930.183506,A3E6CBPKULWOIH,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3E6CBPKULWOIH'}
