
1614094472.072325,A3JESFPIKKY1BE,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3JESFPIKKY1BE'}
1614094491.515751,A3JESFPIKKY1BE,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A3JESFPIKKY1BE'}
1614094540.799636,A3JESFPIKKY1BE,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3JESFPIKKY1BE'}
1614094544.671746,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A3JESFPIKKY1BE'}
1614094615.795154,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A3JESFPIKKY1BE'}
1614094615.797291,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A3JESFPIKKY1BE'}
1614094682.226225,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A3JESFPIKKY1BE'}
1614094682.229102,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A3JESFPIKKY1BE'}
1614094682.230732,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3JESFPIKKY1BE'}
1614094700.504901,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A3JESFPIKKY1BE'}
1614094700.506983,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A3JESFPIKKY1BE'}
1614094702.431298,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3JESFPIKKY1BE'}
1614094705.416262,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A3JESFPIKKY1BE'}
1614094708.220327,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A3JESFPIKKY1BE'}
1614094713.350994,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A3JESFPIKKY1BE'}
1614094716.382792,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A3JESFPIKKY1BE'}
1614094718.994299,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3JESFPIKKY1BE'}
1614094719.019034,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3JESFPIKKY1BE'}
1614094719.732547,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A3JESFPIKKY1BE'}
1614094719.730449,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A3JESFPIKKY1BE'}
1614094720.871903,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3JESFPIKKY1BE'}
1614094721.364922,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3JESFPIKKY1BE'}
1614094722.124968,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A3JESFPIKKY1BE'}
1614094722.151545,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A3JESFPIKKY1BE'}
1614094722.153026,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3JESFPIKKY1BE'}
1614094722.856202,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3JESFPIKKY1BE'}
1614094723.795632,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3JESFPIKKY1BE'}
1614094724.109699,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3JESFPIKKY1BE'}
1614094724.634845,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3JESFPIKKY1BE'}
1614094725.08055,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3JESFPIKKY1BE'}
1614094726.511915,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3JESFPIKKY1BE'}
1614094726.932485,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3JESFPIKKY1BE'}
1614094727.13823,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3JESFPIKKY1BE'}
1614094728.368072,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3JESFPIKKY1BE'}
1614094728.810435,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3JESFPIKKY1BE'}
1614094729.227804,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3JESFPIKKY1BE'}
1614094729.435742,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3JESFPIKKY1BE'}
1614094731.421201,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3JESFPIKKY1BE'}
1614094731.943102,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3JESFPIKKY1BE'}
1614094732.466213,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3JESFPIKKY1BE'}
1614094732.987252,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3JESFPIKKY1BE'}
1614094742.910011,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A3JESFPIKKY1BE'}
1614094742.91333,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A3JESFPIKKY1BE'}
1614094771.112309,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A3JESFPIKKY1BE'}
1614094771.115031,A3JESFPIKKY1BE,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A3JESFPIKKY1BE'}
