
1619900537.373141,A3NXZ577TI5QOJ,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900543.120394,A3NXZ577TI5QOJ,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900561.08246,A3NXZ577TI5QOJ,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900565.681053,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900588.000911,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900591.382942,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900591.687127,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900591.869138,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900592.208687,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900593.257528,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900593.259213,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900594.510939,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900594.510874,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900597.014174,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900598.580644,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900598.893305,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900610.90624,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900611.427935,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900611.853426,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900621.188057,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900621.704328,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900621.886095,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900622.1296,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900622.394773,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900622.603359,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900623.02235,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900623.544174,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900627.721802,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900629.288011,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900704.287636,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900704.288658,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900704.290895,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900706.059265,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900714.83243,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900715.25076,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900715.773674,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900716.713283,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900717.056148,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900719.743448,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A3NXZ577TI5QOJ'}
1619900719.746236,A3NXZ577TI5QOJ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A3NXZ577TI5QOJ'}
