
1619635159.897917,AKMIORNF40ST7,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AKMIORNF40ST7'}
1619635160.122245,AKMIORNF40ST7,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'AKMIORNF40ST7'}
1619635186.5556,AKMIORNF40ST7,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AKMIORNF40ST7'}
1619635195.227012,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'AKMIORNF40ST7'}
1619635198.644032,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'AKMIORNF40ST7'}
1619635198.643487,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'AKMIORNF40ST7'}
1619635223.815355,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'AKMIORNF40ST7'}
1619635223.816291,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'AKMIORNF40ST7'}
1619635223.820658,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AKMIORNF40ST7'}
1619635225.801511,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'AKMIORNF40ST7'}
1619635225.79976,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'AKMIORNF40ST7'}
1619635228.9332,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AKMIORNF40ST7'}
1619635228.933881,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'AKMIORNF40ST7'}
1619635230.181083,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AKMIORNF40ST7'}
1619635230.182124,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'AKMIORNF40ST7'}
1619635233.531445,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AKMIORNF40ST7'}
1619635260.164303,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AKMIORNF40ST7'}
1619635268.101576,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AKMIORNF40ST7'}
1619635268.102353,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'AKMIORNF40ST7'}
1619635268.41844,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'AKMIORNF40ST7'}
1619635268.419909,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AKMIORNF40ST7'}
1619635269.671621,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'AKMIORNF40ST7'}
1619635269.672578,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'AKMIORNF40ST7'}
1619635274.681561,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AKMIORNF40ST7'}
1619635274.89325,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AKMIORNF40ST7'}
1619635277.083852,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AKMIORNF40ST7'}
1619635277.112658,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AKMIORNF40ST7'}
1619635277.810376,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AKMIORNF40ST7'}
1619635278.437276,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AKMIORNF40ST7'}
1619635279.899683,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AKMIORNF40ST7'}
1619635279.943695,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AKMIORNF40ST7'}
1619635280.062905,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AKMIORNF40ST7'}
1619635282.41346,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AKMIORNF40ST7'}
1619635282.415158,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AKMIORNF40ST7'}
1619635282.416159,AKMIORNF40ST7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AKMIORNF40ST7'}
