
1614294043.062646,AXAO7UJYYEFCO,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AXAO7UJYYEFCO'}
1614294278.918791,AXAO7UJYYEFCO,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'AXAO7UJYYEFCO'}
1614294341.697462,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'AXAO7UJYYEFCO'}
1614294358.061295,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'AXAO7UJYYEFCO'}
1614294358.066603,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'AXAO7UJYYEFCO'}
1614294397.386516,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'AXAO7UJYYEFCO'}
1614294397.389906,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'AXAO7UJYYEFCO'}
1614294397.390974,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AXAO7UJYYEFCO'}
1614294402.904529,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AXAO7UJYYEFCO'}
1614294403.654214,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AXAO7UJYYEFCO'}
1614294404.593555,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AXAO7UJYYEFCO'}
1614294408.144661,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AXAO7UJYYEFCO'}
1614294408.564675,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AXAO7UJYYEFCO'}
1614294408.875574,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AXAO7UJYYEFCO'}
1614294409.190071,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AXAO7UJYYEFCO'}
1614294409.607747,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AXAO7UJYYEFCO'}
1614294413.263338,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AXAO7UJYYEFCO'}
1614294413.577583,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AXAO7UJYYEFCO'}
1614294413.639282,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AXAO7UJYYEFCO'}
1614294414.099024,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AXAO7UJYYEFCO'}
1614294414.834791,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'AXAO7UJYYEFCO'}
1614294414.832755,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'AXAO7UJYYEFCO'}
1614294422.153208,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AXAO7UJYYEFCO'}
1614294422.155042,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'AXAO7UJYYEFCO'}
1614294434.450507,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'AXAO7UJYYEFCO'}
1614294434.451441,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'AXAO7UJYYEFCO'}
1614294464.443711,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'AXAO7UJYYEFCO'}
1614294473.746695,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AXAO7UJYYEFCO'}
1614294474.052862,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AXAO7UJYYEFCO'}
1614294474.784193,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AXAO7UJYYEFCO'}
1614294475.09828,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AXAO7UJYYEFCO'}
1614294475.517776,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'AXAO7UJYYEFCO'}
1614294488.258334,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'AXAO7UJYYEFCO'}
1614294488.989266,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AXAO7UJYYEFCO'}
1614294489.511286,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AXAO7UJYYEFCO'}
1614294490.035127,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'AXAO7UJYYEFCO'}
1614294490.347144,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'AXAO7UJYYEFCO'}
1614294490.869689,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AXAO7UJYYEFCO'}
1614294491.18487,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AXAO7UJYYEFCO'}
1614294491.39127,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'AXAO7UJYYEFCO'}
1614294491.809534,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AXAO7UJYYEFCO'}
1614294492.226638,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'AXAO7UJYYEFCO'}
1614294492.750028,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AXAO7UJYYEFCO'}
1614294493.166871,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'AXAO7UJYYEFCO'}
1614294493.795716,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AXAO7UJYYEFCO'}
1614294494.316326,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'AXAO7UJYYEFCO'}
1614294494.943782,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AXAO7UJYYEFCO'}
1614294495.360662,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AXAO7UJYYEFCO'}
1614294495.648214,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AXAO7UJYYEFCO'}
1614294499.225036,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AXAO7UJYYEFCO'}
1614294499.956953,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AXAO7UJYYEFCO'}
1614294499.959482,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'AXAO7UJYYEFCO'}
1614294501.10512,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AXAO7UJYYEFCO'}
1614294501.213704,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'AXAO7UJYYEFCO'}
1614294502.04094,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AXAO7UJYYEFCO'}
1614294502.563552,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AXAO7UJYYEFCO'}
1614294502.876253,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'AXAO7UJYYEFCO'}
1614294508.321624,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'AXAO7UJYYEFCO'}
1614294509.671788,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'AXAO7UJYYEFCO'}
1614294510.23273,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'AXAO7UJYYEFCO'}
1614294516.252163,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AXAO7UJYYEFCO'}
1614294516.381321,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AXAO7UJYYEFCO'}
1614294516.668125,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'AXAO7UJYYEFCO'}
1614294519.805187,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AXAO7UJYYEFCO'}
1614294520.012939,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'AXAO7UJYYEFCO'}
1614294523.040983,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AXAO7UJYYEFCO'}
1614294523.352551,AXAO7UJYYEFCO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'AXAO7UJYYEFCO'}
