
1616194919.26978,861280728,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': '861280728'}
1616194931.217845,861280728,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': '861280728'}
1616195191.276767,861280728,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': '861280728'}
1616195197.032569,861280728,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': '861280728'}
1616195231.812745,861280728,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': '861280728'}
1616195231.813376,861280728,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': '861280728'}
1616195251.554209,861280728,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': '861280728'}
1616195251.579392,861280728,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '861280728'}
1616195251.580011,861280728,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': '861280728'}
1616195257.402534,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '861280728'}
1616195257.71953,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '861280728'}
1616195258.158091,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '861280728'}
1616195258.865048,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '861280728'}
1616195259.909489,861280728,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': '861280728'}
1616195259.911002,861280728,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': '861280728'}
1616195273.177143,861280728,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': '861280728'}
1616195273.177872,861280728,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '861280728'}
1616195276.179767,861280728,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '861280728'}
1616195276.184168,861280728,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': '861280728'}
1616195306.181027,861280728,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '861280728'}
1616195310.255372,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '861280728'}
1616195311.090858,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '861280728'}
1616195311.925748,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '861280728'}
1616195312.552296,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '861280728'}
1616195313.493702,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '861280728'}
1616195314.119429,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '861280728'}
1616195314.641081,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '861280728'}
1616195315.372179,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '861280728'}
1616195316.10329,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': '861280728'}
1616195316.729757,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '861280728'}
1616195317.566004,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': '861280728'}
1616195318.194866,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': '861280728'}
1616195319.34134,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '861280728'}
1616195319.967957,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '861280728'}
1616195320.712129,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '861280728'}
1616195321.430265,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '861280728'}
1616195322.162817,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '861280728'}
1616195323.625382,861280728,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '861280728'}
1616195323.626177,861280728,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': '861280728'}
1616195353.504979,861280728,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '861280728'}
1616195355.273321,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '861280728'}
1616195355.899006,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '861280728'}
1616195356.212629,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '861280728'}
1616195357.257868,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '861280728'}
1616195358.30207,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '861280728'}
1616195359.032789,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '861280728'}
1616195359.659663,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '861280728'}
1616195360.809445,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '861280728'}
1616195361.226559,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '861280728'}
1616195361.748387,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '861280728'}
1616195362.89766,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': '861280728'}
1616195363.107016,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '861280728'}
1616195363.894474,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': '861280728'}
1616195364.569126,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': '861280728'}
1616195365.195626,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '861280728'}
1616195365.508408,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '861280728'}
1616195366.348115,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '861280728'}
1616195367.075184,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '861280728'}
1616195368.015805,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '861280728'}
1616195372.089838,861280728,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '861280728'}
1616195372.090951,861280728,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': '861280728'}
1616195402.065942,861280728,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '861280728'}
1616195404.677255,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': '861280728'}
1616195405.514483,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '861280728'}
1616195405.722691,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '861280728'}
1616195407.079587,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '861280728'}
1616195407.393227,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': '861280728'}
1616195409.064509,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '861280728'}
1616195409.482089,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '861280728'}
1616195409.694361,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': '861280728'}
1616195411.048657,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': '861280728'}
1616195412.087274,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': '861280728'}
1616195412.824276,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': '861280728'}
1616195413.242466,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': '861280728'}
1616195413.667585,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': '861280728'}
1616195414.600247,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': '861280728'}
1616195415.124177,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': '861280728'}
1616195415.540837,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': '861280728'}
1616195416.169951,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': '861280728'}
1616195416.688933,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '861280728'}
1616195417.106868,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': '861280728'}
1616195417.838019,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': '861280728'}
1616195418.673663,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': '861280728'}
1616195421.496526,861280728,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': '861280728'}
1616195421.494857,861280728,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': '861280728'}
1616195451.575886,861280728,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': '861280728'}
1616195453.037917,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '861280728'}
1616195453.664585,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': '861280728'}
1616195454.712178,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '861280728'}
1616195455.027869,861280728,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': '861280728'}
