
1614305968.059296,A10AVWALIHR4UQ,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A10AVWALIHR4UQ'}
1614305975.043159,A10AVWALIHR4UQ,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A10AVWALIHR4UQ'}
1614305996.233261,A10AVWALIHR4UQ,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A10AVWALIHR4UQ'}
1614306000.572366,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A10AVWALIHR4UQ'}
1614306043.066664,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A10AVWALIHR4UQ'}
1614306043.07993,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A10AVWALIHR4UQ'}
1614306130.022537,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A10AVWALIHR4UQ'}
1614306130.023287,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A10AVWALIHR4UQ'}
1614306130.046482,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A10AVWALIHR4UQ'}
1614306141.967468,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A10AVWALIHR4UQ'}
1614306142.363812,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A10AVWALIHR4UQ'}
1614306142.76576,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A10AVWALIHR4UQ'}
1614306143.232915,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A10AVWALIHR4UQ'}
1614306145.102051,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A10AVWALIHR4UQ'}
1614306145.749153,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10AVWALIHR4UQ'}
1614306146.318182,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10AVWALIHR4UQ'}
1614306146.629928,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10AVWALIHR4UQ'}
1614306147.048505,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10AVWALIHR4UQ'}
1614306147.363007,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A10AVWALIHR4UQ'}
1614306147.779086,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A10AVWALIHR4UQ'}
1614306148.407635,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10AVWALIHR4UQ'}
1614306148.639445,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A10AVWALIHR4UQ'}
1614306149.137136,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A10AVWALIHR4UQ'}
1614306149.973998,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10AVWALIHR4UQ'}
1614306150.181803,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10AVWALIHR4UQ'}
1614306152.480358,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10AVWALIHR4UQ'}
1614306153.000075,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10AVWALIHR4UQ'}
1614306153.419263,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10AVWALIHR4UQ'}
1614306153.941428,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A10AVWALIHR4UQ'}
1614306279.906628,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A10AVWALIHR4UQ'}
1614306279.907543,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A10AVWALIHR4UQ'}
1614306319.975138,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A10AVWALIHR4UQ'}
1614306319.980319,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A10AVWALIHR4UQ'}
1614306391.043368,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A10AVWALIHR4UQ'}
1614306391.044482,A10AVWALIHR4UQ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A10AVWALIHR4UQ'}
