
1614294741.549214,A13WTEQ06V3B6D,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A13WTEQ06V3B6D'}
1614294747.615794,A13WTEQ06V3B6D,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A13WTEQ06V3B6D'}
1614294769.936513,A13WTEQ06V3B6D,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A13WTEQ06V3B6D'}
1614294775.144863,A13WTEQ06V3B6D,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A13WTEQ06V3B6D'}
1614294797.746964,A13WTEQ06V3B6D,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A13WTEQ06V3B6D'}
1614294797.749004,A13WTEQ06V3B6D,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A13WTEQ06V3B6D'}
1614294937.308616,A13WTEQ06V3B6D,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A13WTEQ06V3B6D'}
1614294937.312043,A13WTEQ06V3B6D,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A13WTEQ06V3B6D'}
1614294937.310466,A13WTEQ06V3B6D,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A13WTEQ06V3B6D'}
1614294945.785309,A13WTEQ06V3B6D,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A13WTEQ06V3B6D'}
1614294946.239967,A13WTEQ06V3B6D,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A13WTEQ06V3B6D'}
1614294946.725305,A13WTEQ06V3B6D,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A13WTEQ06V3B6D'}
1614294947.144336,A13WTEQ06V3B6D,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A13WTEQ06V3B6D'}
1614294947.451514,A13WTEQ06V3B6D,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A13WTEQ06V3B6D'}
1614294947.874828,A13WTEQ06V3B6D,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A13WTEQ06V3B6D'}
1614294948.235506,A13WTEQ06V3B6D,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A13WTEQ06V3B6D'}
1614294948.629864,A13WTEQ06V3B6D,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A13WTEQ06V3B6D'}
1614294953.523433,A13WTEQ06V3B6D,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A13WTEQ06V3B6D'}
1614294953.524213,A13WTEQ06V3B6D,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A13WTEQ06V3B6D'}
1614294968.973146,A13WTEQ06V3B6D,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A13WTEQ06V3B6D'}
1614294968.975098,A13WTEQ06V3B6D,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A13WTEQ06V3B6D'}
1614294991.533856,A13WTEQ06V3B6D,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A13WTEQ06V3B6D'}
1614294991.535796,A13WTEQ06V3B6D,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A13WTEQ06V3B6D'}
1614294993.72923,A13WTEQ06V3B6D,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A13WTEQ06V3B6D'}
1614295021.615675,A13WTEQ06V3B6D,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A13WTEQ06V3B6D'}
1614295025.684433,A13WTEQ06V3B6D,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A13WTEQ06V3B6D'}
1614295026.733797,A13WTEQ06V3B6D,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A13WTEQ06V3B6D'}
1614295026.799594,A13WTEQ06V3B6D,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A13WTEQ06V3B6D'}
1614295027.568988,A13WTEQ06V3B6D,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A13WTEQ06V3B6D'}
1614295028.221704,A13WTEQ06V3B6D,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A13WTEQ06V3B6D'}
