
1616202889.862337,A18BBM4JCRJCZ7,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A18BBM4JCRJCZ7'}
1616202983.826898,A18BBM4JCRJCZ7,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203156.760945,A18BBM4JCRJCZ7,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203165.69679,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203214.699306,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203214.700198,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203222.337528,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203224.517974,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203225.252388,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203226.605825,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203227.969403,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203266.611481,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203266.612049,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203266.614647,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203278.622877,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203280.611294,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203282.181437,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203283.636688,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203285.412073,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A18BBM4JCRJCZ7'}
1616203286.769896,A18BBM4JCRJCZ7,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A18BBM4JCRJCZ7'}
