
1614012861.283799,A1B5SSGMTAQ9B5,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614012978.056307,A1B5SSGMTAQ9B5,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013042.179432,A1B5SSGMTAQ9B5,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013045.216671,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013065.586138,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013065.588868,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013123.554747,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013123.577748,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013123.57992,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013126.478229,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013126.480895,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013129.09188,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013129.094008,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013132.281365,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013132.307215,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013143.087806,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013143.778455,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013145.198639,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013146.949666,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013162.30497,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013175.046997,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013176.613344,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013176.807855,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013177.554098,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013178.181826,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013178.256036,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013178.913052,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013181.523682,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013182.358015,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013183.32058,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013183.715316,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013190.504295,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013191.237736,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013192.384588,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013192.38716,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013197.920536,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013197.92263,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button misunderstanding panel', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013199.545977,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013200.322151,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013201.052969,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1B5SSGMTAQ9B5'}
1614013201.576014,A1B5SSGMTAQ9B5,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1B5SSGMTAQ9B5'}
