
1614017188.512327,A1BIJGB7XA0GME,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1BIJGB7XA0GME'}
1614017205.43687,A1BIJGB7XA0GME,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A1BIJGB7XA0GME'}
1614017249.723535,A1BIJGB7XA0GME,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1BIJGB7XA0GME'}
1614017308.319338,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A1BIJGB7XA0GME'}
1614017343.365905,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A1BIJGB7XA0GME'}
1614017343.371208,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A1BIJGB7XA0GME'}
1614017389.268878,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A1BIJGB7XA0GME'}
1614017389.270414,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A1BIJGB7XA0GME'}
1614017389.29365,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1BIJGB7XA0GME'}
1614017412.455874,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1BIJGB7XA0GME'}
1614017414.126872,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1BIJGB7XA0GME'}
1614017416.216022,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1BIJGB7XA0GME'}
1614017421.125653,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1BIJGB7XA0GME'}
1614017423.005648,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1BIJGB7XA0GME'}
1614017424.363489,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1BIJGB7XA0GME'}
1614017427.914631,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1BIJGB7XA0GME'}
1614017429.226517,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1BIJGB7XA0GME'}
1614017430.108028,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1BIJGB7XA0GME'}
1614017432.26963,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1BIJGB7XA0GME'}
1614017434.077378,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1BIJGB7XA0GME'}
1614017435.498333,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1BIJGB7XA0GME'}
1614017444.941901,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A1BIJGB7XA0GME'}
1614017444.944045,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A1BIJGB7XA0GME'}
1614017469.906637,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1BIJGB7XA0GME'}
1614017469.904259,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A1BIJGB7XA0GME'}
1614017484.855238,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1BIJGB7XA0GME'}
1614017484.856731,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A1BIJGB7XA0GME'}
1614017514.843962,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1BIJGB7XA0GME'}
1614017536.753547,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1BIJGB7XA0GME'}
1614017538.84308,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1BIJGB7XA0GME'}
1614017540.725932,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1BIJGB7XA0GME'}
1614017543.333124,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1BIJGB7XA0GME'}
1614017544.170072,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1BIJGB7XA0GME'}
1614017548.047944,A1BIJGB7XA0GME,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1BIJGB7XA0GME'}
