
1614280155.272727,A1FIBI3HA1WQ8I,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281189.24013,A1FIBI3HA1WQ8I,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281218.329171,A1FIBI3HA1WQ8I,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281222.823763,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281296.251936,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281296.253474,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281356.306913,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281356.310923,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281356.309582,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281372.493921,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281372.496894,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281406.025461,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281406.027482,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281440.076482,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281440.078826,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281469.786042,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281477.482958,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281478.512306,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281497.04545,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281497.702832,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281498.146346,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281499.270467,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281503.398606,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281503.788924,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281504.106767,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281505.270285,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281505.76218,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281506.246312,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281507.226519,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281508.406497,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281509.268099,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281511.742537,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281512.530627,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281513.418408,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281514.782811,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281515.93883,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281516.603543,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281517.450054,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281517.767325,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281518.280188,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281518.933968,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281520.099836,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281520.556291,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281521.232218,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281521.718559,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281522.430374,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281524.010092,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281524.512863,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281525.990329,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281526.600718,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281530.222388,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281532.746664,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281533.139521,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281535.679441,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281536.446611,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281537.028223,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281542.312297,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281554.805309,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281554.814382,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing misunderstanding panel', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281579.620214,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281580.59439,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281581.514212,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281582.154499,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281582.397587,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281583.152306,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281583.377391,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281584.191695,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281585.035651,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1FIBI3HA1WQ8I'}
1614281585.432627,A1FIBI3HA1WQ8I,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A1FIBI3HA1WQ8I'}
