
1616163912.649642,A1NCO5A4JYHGKQ,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616163976.553356,A1NCO5A4JYHGKQ,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164003.671985,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164076.41703,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164076.417564,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164178.931948,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164178.934366,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164178.959025,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164197.264185,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164198.944356,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164200.292317,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164201.545552,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164201.965476,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164202.381674,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164203.008425,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164203.217809,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164203.530196,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1NCO5A4JYHGKQ'}
1616164204.054045,A1NCO5A4JYHGKQ,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1NCO5A4JYHGKQ'}
