
1616345244.80568,A1PHDT66U6IK4Q,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345316.22007,A1PHDT66U6IK4Q,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345382.085943,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345468.127708,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345468.128657,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345574.146374,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345574.14708,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345574.148233,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345609.057956,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345610.599421,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345611.956162,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345622.923289,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345624.176948,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345625.430104,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1PHDT66U6IK4Q'}
1616345627.727766,A1PHDT66U6IK4Q,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1PHDT66U6IK4Q'}
