
1616189132.885333,A1VWP7HOSGKATD,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1VWP7HOSGKATD'}
1616189148.447067,A1VWP7HOSGKATD,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A1VWP7HOSGKATD'}
1616189158.368004,A1VWP7HOSGKATD,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1VWP7HOSGKATD'}
1616189163.380626,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A1VWP7HOSGKATD'}
1616189165.996007,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A1VWP7HOSGKATD'}
1616189165.996898,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A1VWP7HOSGKATD'}
1616189189.284321,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1VWP7HOSGKATD'}
1616189189.597508,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1VWP7HOSGKATD'}
1616189189.600163,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1VWP7HOSGKATD'}
1616189189.620786,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1VWP7HOSGKATD'}
1616189189.913416,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1VWP7HOSGKATD'}
1616189190.12018,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1VWP7HOSGKATD'}
1616189190.273971,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1VWP7HOSGKATD'}
1616189192.001491,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1VWP7HOSGKATD'}
1616189192.313021,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1VWP7HOSGKATD'}
1616189192.426693,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1VWP7HOSGKATD'}
1616189192.62717,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1VWP7HOSGKATD'}
1616189192.940075,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1VWP7HOSGKATD'}
1616189193.149815,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1VWP7HOSGKATD'}
1616189193.296586,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1VWP7HOSGKATD'}
1616189193.56795,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1VWP7HOSGKATD'}
1616189193.775328,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1VWP7HOSGKATD'}
1616189193.922145,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1VWP7HOSGKATD'}
1616189194.193296,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1VWP7HOSGKATD'}
1616189194.270306,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1VWP7HOSGKATD'}
1616189231.273665,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A1VWP7HOSGKATD'}
1616189231.289352,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A1VWP7HOSGKATD'}
1616189231.299372,A1VWP7HOSGKATD,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1VWP7HOSGKATD'}
