
1614019490.029445,A1ZI4VU6650Q8B,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019501.00113,A1ZI4VU6650Q8B,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019510.159617,A1ZI4VU6650Q8B,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019539.194451,A1ZI4VU6650Q8B,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019543.080965,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019596.205022,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019596.207267,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019653.860688,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019653.863959,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019653.864544,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019662.111377,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019662.424635,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019662.842571,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019663.260263,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019664.104398,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019664.409066,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019664.723271,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019664.846694,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019665.872338,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1ZI4VU6650Q8B'}
1614019665.995387,A1ZI4VU6650Q8B,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A1ZI4VU6650Q8B'}
