
1614298226.053433,A21ZK49H9LSSRY,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A21ZK49H9LSSRY'}
1614298232.370525,A21ZK49H9LSSRY,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A21ZK49H9LSSRY'}
1614298389.46132,A21ZK49H9LSSRY,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A21ZK49H9LSSRY'}
1614298396.249507,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A21ZK49H9LSSRY'}
1614298423.723423,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A21ZK49H9LSSRY'}
1614298423.724144,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A21ZK49H9LSSRY'}
1614298479.811313,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A21ZK49H9LSSRY'}
1614298479.813018,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A21ZK49H9LSSRY'}
1614298479.834507,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A21ZK49H9LSSRY'}
1614298488.932516,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A21ZK49H9LSSRY'}
1614298490.045717,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A21ZK49H9LSSRY'}
1614298490.881831,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A21ZK49H9LSSRY'}
1614298491.194918,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A21ZK49H9LSSRY'}
1614298492.02985,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A21ZK49H9LSSRY'}
1614298492.342892,A21ZK49H9LSSRY,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A21ZK49H9LSSRY'}
