
1616178817.19943,A24C6QQIDFZ5NO,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178834.642251,A24C6QQIDFZ5NO,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178841.536348,A24C6QQIDFZ5NO,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178859.919859,A24C6QQIDFZ5NO,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178870.258512,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178871.306238,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178871.827624,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178872.66234,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178873.393488,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178885.404806,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178885.41777,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178886.450542,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178886.563253,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178889.375086,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178890.627629,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178892.405426,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178894.284415,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178894.674881,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178897.197016,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178900.654907,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178902.013442,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178903.266253,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178903.788188,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178905.148047,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178907.548699,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178907.966997,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178910.473585,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178912.56201,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178914.128966,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178917.472595,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178917.784188,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178918.202101,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178919.980537,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178920.91828,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178922.379827,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178925.620454,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178926.665307,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178928.125195,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178928.960791,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178930.006255,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A24C6QQIDFZ5NO'}
1616178932.407671,A24C6QQIDFZ5NO,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A24C6QQIDFZ5NO'}
