
1614271660.162034,A250FES5PFCGK9,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A250FES5PFCGK9'}
1614271684.193336,A250FES5PFCGK9,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A250FES5PFCGK9'}
1614271744.922311,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A250FES5PFCGK9'}
1614271777.257349,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A250FES5PFCGK9'}
1614271777.258913,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A250FES5PFCGK9'}
1614271849.846995,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A250FES5PFCGK9'}
1614271849.848949,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A250FES5PFCGK9'}
1614271849.871775,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A250FES5PFCGK9'}
1614271860.99796,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A250FES5PFCGK9'}
1614271861.545213,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A250FES5PFCGK9'}
1614271861.858776,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A250FES5PFCGK9'}
1614271862.171253,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A250FES5PFCGK9'}
1614271862.48517,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A250FES5PFCGK9'}
1614271862.910479,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A250FES5PFCGK9'}
1614271863.312725,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A250FES5PFCGK9'}
1614271863.832236,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A250FES5PFCGK9'}
1614271864.862129,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A250FES5PFCGK9'}
1614271865.200362,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A250FES5PFCGK9'}
1614271865.522992,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A250FES5PFCGK9'}
1614271865.728287,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A250FES5PFCGK9'}
1614271865.836843,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A250FES5PFCGK9'}
1614271866.384855,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A250FES5PFCGK9'}
1614271866.663067,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A250FES5PFCGK9'}
1614271866.977019,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A250FES5PFCGK9'}
1614271869.180901,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A250FES5PFCGK9'}
1614271869.588158,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A250FES5PFCGK9'}
1614271869.796091,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A250FES5PFCGK9'}
1614271870.214026,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A250FES5PFCGK9'}
1614271873.347843,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A250FES5PFCGK9'}
1614271873.350656,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A250FES5PFCGK9'}
1614271891.089933,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A250FES5PFCGK9'}
1614271891.092203,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A250FES5PFCGK9'}
1614271893.193966,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A250FES5PFCGK9'}
1614271893.195809,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A250FES5PFCGK9'}
1614271923.275063,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A250FES5PFCGK9'}
1614271934.239474,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A250FES5PFCGK9'}
1614271934.868292,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A250FES5PFCGK9'}
1614271935.598182,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A250FES5PFCGK9'}
1614271936.020977,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A250FES5PFCGK9'}
1614271936.435841,A250FES5PFCGK9,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A250FES5PFCGK9'}
