
1614013681.182447,A273EH17NSJRH0,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A273EH17NSJRH0'}
1614013684.569878,A273EH17NSJRH0,{'stage': 'tutorial', 'action': 'opened-tutorial', 'worker-id': 'A273EH17NSJRH0'}
1614013702.504802,A273EH17NSJRH0,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A273EH17NSJRH0'}
1614013715.095074,A273EH17NSJRH0,{'stage': 'portal', 'action': 'opened-portal', 'worker-id': 'A273EH17NSJRH0'}
1614013716.886298,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 1', 'worker-id': 'A273EH17NSJRH0'}
1614013737.398405,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 1', 'worker-id': 'A273EH17NSJRH0'}
1614013737.400559,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 2', 'worker-id': 'A273EH17NSJRH0'}
1614013747.007975,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 2', 'worker-id': 'A273EH17NSJRH0'}
1614013747.01001,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing tutorial panel 3', 'worker-id': 'A273EH17NSJRH0'}
1614013747.032189,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A273EH17NSJRH0'}
1614013752.993318,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button tutorial 3', 'worker-id': 'A273EH17NSJRH0'}
1614013753.000511,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing introduction', 'worker-id': 'A273EH17NSJRH0'}
1614013766.540474,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button introduction', 'worker-id': 'A273EH17NSJRH0'}
1614013766.542617,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A273EH17NSJRH0'}
1614013775.521774,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A273EH17NSJRH0'}
1614013775.523715,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button information', 'worker-id': 'A273EH17NSJRH0'}
1614013805.500889,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A273EH17NSJRH0'}
1614013827.749595,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A273EH17NSJRH0'}
1614013828.630948,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '0', 'worker-id': 'A273EH17NSJRH0'}
1614013829.383518,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '6', 'worker-id': 'A273EH17NSJRH0'}
1614013830.147344,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '2', 'worker-id': 'A273EH17NSJRH0'}
1614013830.665134,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '7', 'worker-id': 'A273EH17NSJRH0'}
1614013831.192716,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '8', 'worker-id': 'A273EH17NSJRH0'}
1614013831.616703,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '9', 'worker-id': 'A273EH17NSJRH0'}
1614013832.238082,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '16', 'worker-id': 'A273EH17NSJRH0'}
1614013832.655392,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '15', 'worker-id': 'A273EH17NSJRH0'}
1614013833.176535,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '14', 'worker-id': 'A273EH17NSJRH0'}
1614013833.599294,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '13', 'worker-id': 'A273EH17NSJRH0'}
1614013834.012545,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '12', 'worker-id': 'A273EH17NSJRH0'}
1614013834.474907,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '5', 'worker-id': 'A273EH17NSJRH0'}
1614013834.952196,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '4', 'worker-id': 'A273EH17NSJRH0'}
1614013835.369847,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '11', 'worker-id': 'A273EH17NSJRH0'}
1614013835.757518,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '3', 'worker-id': 'A273EH17NSJRH0'}
1614013836.41541,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '10', 'worker-id': 'A273EH17NSJRH0'}
1614013837.459777,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing information panel', 'worker-id': 'A273EH17NSJRH0'}
1614013837.461984,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'side-panel-click', 'object': 'next button sagat questions', 'worker-id': 'A273EH17NSJRH0'}
1614013867.43738,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'side-panel-state', 'object': 'showing sagat questions', 'worker-id': 'A273EH17NSJRH0'}
1614013890.936969,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A273EH17NSJRH0'}
1614013891.667175,A273EH17NSJRH0,{'stage': 'SAGAT', 'action': 'canvas-click', 'object': '1', 'worker-id': 'A273EH17NSJRH0'}
